source,target
40365,0
20831,1
50957,2
50892,3
50592,4
51984,5
19504,6
51593,7
47125,8
24800,9
8012,10
31496,11
12125,12
21378,13
51455,14
39295,15
47931,16
15098,17
45133,18
20179,19
23756,20
7431,21
50545,22
49094,23
1,24
12316,25
36066,26
5002,27
35906,28
30163,29
10547,30
13006,31
50296,32
24303,33
33825,34
23548,35
46586,36
29208,37
34894,38
40170,39
6262,40
7623,41
50864,42
50459,43
9242,44
30644,45
14778,46
52073,47
52507,48
23715,49
10544,50
51068,51
50885,52
50281,53
30847,54
50017,55
51906,56
20725,57
14250,58
50404,59
37205,60
1679,61
39614,62
46875,63
19699,64
7692,65
1709,66
37086,67
37084,68
37067,69
41090,70
52748,71
37197,72
50871,73
31459,74
52768,75
8530,76
50701,77
15613,78
15335,79
16715,80
37238,81
9265,82
50829,83
508,84
40497,85
9614,86
42071,87
38614,88
42580,89
15147,90
35992,91
20918,92
49251,93
50882,94
30967,95
30190,96
4712,97
25532,98
41729,99
211713,100
71523,101
164982,102
50161,103
47863,104
6372,105
51481,106
13668,107
25267,108
51947,109
15241,110
18344,111
51764,112
3986,113
42921,114
20424,115
2426,116
21207,117
8433,118
28344,119
2085,120
9081,121
2623,122
25443,123
9676,124
6260,125
30031,126
37459,127
42087,128
153,129
12083,130
46626,131
43642,132
27289,133
42445,134
10372,135
9488,136
10025,137
6706,138
52170,139
29449,140
7611,141
38609,142
39404,143
49167,144
45726,145
46590,146
23768,147
25912,148
17607,149
12369,150
16203,151
38566,152
22738,153
26440,154
28639,155
28690,156
40013,157
49743,158
36653,159
4701,160
39837,161
6872,162
2738,163
5838,164
31317,165
48582,166
17794,167
16937,168
11887,169
14391,170
24552,171
40043,172
39201,173
3717,174
34551,175
24449,176
46077,177
25658,178
48209,179
38717,180
17508,181
43737,182
12056,183
64794,184
4753,185
38022,186
46945,187
24751,188
19269,189
41316,190
28509,191
1859,192
30616,193
9356,194
25138,195
3224,196
23392,197
48297,198
2772,199
75862,200
182115,201
34133,202
19989,203
45630,204
27107,205
18751,206
7420,207
16004,208
64389,209
12737,210
34030,211
45418,212
26807,213
44519,214
10138,215
33361,216
48740,217
50301,218
9704,219
9626,220
15677,221
20697,222
1220,223
28697,224
23632,225
13548,226
15857,227
20489,228
9906,229
6077,230
21710,231
7646,232
30012,233
4829,234
37663,235
20264,236
46981,237
41283,238
48481,239
34277,240
7768,241
707,242
18405,243
41645,244
51108,245
