source,target
291,0
829,0
374,0
39680,1
39150,1
39714,1
38615,1
38094,1
38405,1
38196,1
38930,1
38778,1
38169,1
38660,1
38442,1
38383,1
38641,1
38031,1
38013,1
38326,1
38895,1
38329,1
38772,1
38014,1
38642,1
38592,1
38410,1
38911,1
38020,1
38523,1
38668,1
38459,1
38151,1
38634,1
38102,1
38858,1
38728,1
38201,1
38359,1
38795,1
38310,1
38240,1
38121,1
39315,1
38181,1
38599,1
38503,1
38740,1
38285,1
39832,1
38316,1
38153,1
38187,1
38118,1
38938,1
725,1
16209,1
20546,1
26302,1
26858,1
26135,1
25674,1
26083,1
38964,1
38389,1
38088,1
38614,1
38165,1
38562,1
38657,1
38581,1
38250,1
38037,1
37998,1
38885,1
38595,1
38557,1
38036,1
38873,1
38936,1
38333,1
38626,1
38812,1
38098,1
38057,1
38553,1
38809,1
38884,1
39948,1
38182,1
38574,1
38491,1
38837,1
38502,1
38723,1
38450,1
38888,1
38078,1
38637,1
38753,1
38454,1
38518,1
38900,1
38436,1
38975,1
3095,2
3396,2
949,2
76,2
778,2
955,3
867,3
565,3
442,4
706,4
925,4
55,4
327,4
251,4
980,4
671,4
929,4
709,4
598,4
23,4
45093,5
45930,5
45644,5
45589,5
45072,5
778,5
76,5
949,5
936,6
71,6
31,6
756,6
616,7
435,7
295,7
48377,8
48167,8
48517,8
48756,8
48638,8
48219,8
48251,8
666,8
2097,9
23,9
327,9
925,9
598,9
251,9
929,9
55,9
980,9
671,9
709,9
442,9
706,9
264,10
543,10
274,10
32345,11
778,11
949,11
76,11
744,12
860,12
242,12
638,12
747,12
252,13
976,13
180,13
736,14
198,14
497,14
669,14
985,14
77,15
812,15
504,15
238,16
502,16
751,16
782,17
960,17
791,17
896,17
20182,18
20178,18
20430,18
20380,18
689,18
365,19
969,19
4,19
529,19
984,19
485,19
423,20
157,20
711,20
826,20
664,20
309,20
238,21
751,21
502,21
257,22
188,22
333,22
49525,23
49649,23
49759,23
869,23
855,24
400,24
997,24
885,25
833,25
822,25
539,26
30959,27
30809,27
30278,27
30745,27
725,27
29443,27
29026,27
29050,27
29685,27
29995,27
29473,27
29109,27
29289,27
29708,27
29262,27
29594,27
30553,27
29865,27
30326,27
29843,27
29864,27
29530,27
29991,27
29031,27
29518,27
29107,27
29982,27
29751,27
29476,27
29264,27
29629,27
29566,27
29878,27
29958,27
29730,27
29558,27
29012,27
29430,27
29308,27
29153,27
29907,27
29661,27
29179,27
29513,27
29123,27
29736,27
29808,27
29442,27
29753,27
29956,27
29703,27
29063,27
29912,27
30781,27
38571,28
400,28
855,28
997,28
291,29
829,29
374,29
953,30
500,30
922,30
102,30
571,30
953,31
922,31
500,31
102,31
571,31
980,32
327,32
929,32
925,32
251,32
442,32
23,32
671,32
598,32
709,32
706,32
55,32
955,33
867,33
565,33
817,34
282,35
771,35
716,35
28413,36
28067,36
28217,36
962,36
575,37
925,38
671,38
23,38
929,38
442,38
980,38
55,38
706,38
251,38
598,38
327,38
709,38
829,39
291,39
374,39
5293,40
5804,40
5608,40
5734,40
574,40
355,40
381,40
553,40
655,40
628,40
235,41
936,42
71,42
31,42
756,42
20468,43
949,43
778,43
76,43
10514,44
10004,44
10259,44
381,44
655,44
553,44
574,44
355,44
628,44
327,45
23,45
706,45
671,45
929,45
980,45
709,45
251,45
55,45
598,45
925,45
442,45
953,46
571,46
500,46
922,46
102,46
616,47
435,47
295,47
76,48
949,48
778,48
742,49
415,49
531,49
944,49
873,49
813,50
965,51
700,51
183,51
295,52
435,52
616,52
252,53
976,53
180,53
709,54
671,54
925,54
327,54
55,54
251,54
706,54
23,54
929,54
980,54
598,54
442,54
10,55
687,55
921,55
938,55
548,55
393,56
919,56
445,56
318,56
442,57
55,57
251,57
706,57
925,57
929,57
709,57
598,57
671,57
327,57
23,57
980,57
424,58
999,58
604,58
67,58
36430,59
36836,59
36639,59
778,59
76,59
949,59
108,60
732,60
5,60
876,60
860,61
242,61
744,61
638,61
747,61
415,62
742,62
531,62
944,62
873,62
274,63
264,63
543,63
41675,64
41305,64
41058,64
41041,64
958,64
833,65
822,65
885,65
2768,66
2965,66
2325,66
2607,66
2665,66
2370,66
598,66
251,66
925,66
671,66
929,66
55,66
2712,66
23,66
442,66
327,66
980,66
706,66
709,66
664,67
20565,68
20561,68
598,68
929,68
327,68
671,68
925,68
709,68
442,68
980,68
251,68
706,68
55,68
23,68
813,69
45264,70
45787,70
45745,70
45750,70
45806,70
45211,70
45079,70
45952,70
45736,70
45344,70
778,70
76,70
949,70
953,71
922,71
571,71
500,71
102,71
496,72
291,73
374,73
829,73
953,74
571,74
922,74
500,74
102,74
279,75
943,75
380,75
627,75
438,75
682,75
800,75
654,75
735,75
602,75
813,76
457,77
465,78
474,78
229,78
704,78
155,78
949,79
76,79
778,79
925,80
251,80
327,80
980,80
598,80
55,80
706,80
671,80
442,80
709,80
929,80
23,80
925,81
671,81
55,81
327,81
706,81
442,81
709,81
980,81
598,81
251,81
929,81
23,81
50503,82
28374,82
28482,82
28661,82
11020,82
11438,82
11559,82
11262,82
4230,82
4656,82
4566,82
182,82
970,82
444,82
998,82
663,82
24134,83
24599,83
24023,83
24277,83
0,83
170,83
577,83
326,83
14,83
793,83
95,84
514,84
411,84
836,84
885,85
822,85
833,85
885,86
833,86
822,86
598,87
706,87
980,87
925,87
671,87
327,87
709,87
55,87
23,87
251,87
442,87
929,87
985,88
736,88
198,88
497,88
669,88
598,89
925,89
251,89
671,89
706,89
55,89
23,89
929,89
442,89
327,89
709,89
980,89
669,90
198,90
985,90
497,90
736,90
38,91
130,91
790,91
37,91
162,91
98,91
748,91
955,92
565,92
867,92
7479,93
7429,93
7976,93
574,93
355,93
381,93
628,93
553,93
655,93
41108,94
41173,94
41976,94
778,94
76,94
949,94
251,95
598,95
23,95
709,95
442,95
671,95
706,95
980,95
327,95
929,95
55,95
925,95
751,96
238,96
502,96
39832,97
39948,97
39680,97
39150,97
39714,97
38036,97
38562,97
38383,97
38102,97
38454,97
38873,97
38196,97
38975,97
38326,97
38491,97
38888,97
38316,97
38728,97
38182,97
38591,97
38641,97
38013,97
38637,97
38657,97
38753,97
38553,97
38250,97
38592,97
38557,97
39315,97
38812,97
38885,97
38359,97
38389,97
38772,97
38020,97
38094,97
38930,97
38595,97
38165,97
38503,97
38778,97
38329,97
725,97
16209,97
20546,97
25674,97
26083,97
26135,97
26858,97
26302,97
38884,97
38938,97
38518,97
38169,97
38450,97
38668,97
38599,97
38574,97
38809,97
38037,97
37998,97
38088,97
38614,97
38181,97
38057,97
38523,97
38153,97
38014,97
38502,97
38285,97
38459,97
38121,97
38118,97
38333,97
38098,97
38581,97
38410,97
38405,97
38895,97
38151,97
38615,97
38837,97
38436,97
38900,97
38240,97
38634,97
38936,97
38310,97
38201,97
38078,97
38964,97
38795,97
867,98
565,98
955,98
440,99
631,99
545,99
955,100
867,100
565,100
571,101
922,101
953,101
500,101
102,101
201,102
589,103
