source,target
1616,2
10220,130
10220,130
48469,445
1315,484
1315,484
1396,484
1315,484
1315,484
1396,484
1396,484
1315,484
1396,484
1315,484
1315,484
1315,484
1396,484
1315,484
1396,484
1396,484
1396,484
1315,484
1396,484
1396,484
1627,1551
1627,1551
31636,1896
35305,2047
1315,2047
35305,2047
1396,2047
227,2047
227,2047
227,2047
1315,2047
227,2047
35305,2047
188,2047
1396,2047
1315,2047
1396,2047
1315,2047
35305,2047
1315,2047
35305,2047
227,2047
35305,2047
35305,2047
1315,2047
1315,2047
1396,2047
227,2047
227,2047
1315,2047
227,2047
1315,2047
35305,2047
188,2047
188,2047
188,2047
227,2047
188,2047
35305,2047
1396,2047
1396,2047
35305,2047
1396,2047
1396,2047
227,2047
1315,2047
188,2047
35305,2047
1396,2047
35305,2047
188,2047
188,2047
188,2047
188,2047
35305,2047
35305,2047
1396,2047
35305,2047
21128,4054
23333,5297
35999,5400
35999,5400
916,5439
16282,5571
16282,5571
16282,5571
16282,5571
16282,5571
16282,5571
35999,5646
35999,5646
21128,5705
16376,5855
16376,5855
16376,5855
16376,5855
16376,5855
16376,5855
16376,5855
16376,5855
5851,5946
20130,5946
5328,5946
5816,5946
20130,5946
16101,6104
35815,6104
35815,6104
15669,6104
50734,6104
15371,6104
15017,6104
50734,6104
50734,6104
15454,6104
15634,6104
35815,6104
35815,6104
15454,6104
50734,6104
50734,6104
35226,6104
15669,6104
35815,6104
50734,6104
16101,6104
35815,6104
15371,6104
46173,6104
35815,6104
35815,6104
35815,6104
35815,6104
35815,6104
15477,6104
15918,6104
50734,6104
15477,6104
15634,6104
35815,6104
15918,6104
35815,6104
32376,6104
35815,6104
50734,6104
15017,6104
35815,6104
35815,6104
2954,6215
2954,6215
2954,6215
2954,6215
47593,6215
47346,6215
2954,6215
2954,6215
2954,6215
47346,6215
2954,6215
2954,6215
47593,6215
2954,6215
17629,6471
17629,6471
17629,6471
17629,6471
17629,6471
17629,6471
17629,6471
17629,6471
5478,6934
24531,6934
5478,6934
35305,6934
15952,6934
5478,6934
48173,6934
48173,6934
24531,6934
5478,6934
5478,6934
48173,6934
5478,6934
15952,6934
5478,6934
24531,6934
15952,6934
5478,6934
5478,6934
5478,6934
24531,6934
46739,6934
35305,6934
35305,6934
5478,6934
48173,6934
48173,6934
5478,6934
35305,6934
5478,6934
5478,6934
48173,6934
35305,6934
24531,6934
35305,6934
35305,6934
5478,6934
16739,6934
35305,6934
15952,6934
5478,6934
14563,6934
5478,6934
5478,6934
35305,6934
15952,6934
5478,6934
5478,6934
35305,6934
5478,6934
35305,6934
5478,6934
15952,6934
5478,6934
5478,6934
5478,6934
35305,6934
24531,6934
24531,6934
35305,6934
24531,6934
48173,6934
15952,6934
24531,6934
5478,6934
24531,6934
48173,6934
35305,6934
24531,6934
14563,6934
35305,6934
5478,6934
24531,6934
15952,6934
27781,6934
5478,6934
48173,6934
21910,6967
9151,6967
21910,6967
16998,6967
21910,6967
21910,6967
9151,6967
19466,7266
19466,7266
19466,7266
19466,7266
19466,7266
19466,7266
19466,7266
41679,7484
24546,7484
41679,7484
41679,7484
24546,7484
24546,7484
24546,7484
24546,7484
41679,7484
5043,7529
5706,7529
32595,7529
9528,7534
9475,7534
9475,7534
9528,7534
15952,7571
15952,7571
15952,7571
15952,7571
15952,7571
15952,7571
15952,7571
15952,7571
732,7615
732,7615
2505,7656
2427,7656
2550,7656
2505,7656
2550,7656
2427,7656
24531,7723
24531,7723
24531,7723
24531,7723
24531,7723
24531,7723
24531,7723
24531,7723
24531,7723
24531,7723
24531,7723
24531,7723
15952,7897
15952,7897
15952,7897
15952,7897
15952,7897
15952,7897
15952,7897
15952,7897
37862,8117
227,8180
35305,8180
1396,8180
1707,8180
227,8180
1707,8180
1315,8180
35305,8180
1315,8180
1707,8180
17629,8180
35305,8180
188,8180
188,8180
1396,8180
188,8180
1707,8180
35305,8180
35305,8180
1707,8180
227,8180
35305,8180
1315,8180
35305,8180
35305,8180
188,8180
227,8180
1315,8180
1396,8180
1396,8180
188,8180
227,8180
17629,8180
188,8180
17629,8180
17629,8180
188,8180
1315,8180
35305,8180
1315,8180
16146,8180
35305,8180
227,8180
1707,8180
35305,8180
1396,8180
17629,8180
1707,8180
1707,8180
188,8180
227,8180
732,8180
1315,8180
1315,8180
1396,8180
35305,8180
188,8180
188,8180
1707,8180
1707,8180
17629,8180
1707,8180
1396,8180
17629,8180
1396,8180
1396,8180
35305,8180
1707,8180
227,8180
1315,8180
732,8180
1707,8180
227,8180
17629,8180
35305,8180
1707,8180
227,8180
1396,8180
1707,8180
1315,8180
35305,8180
33909,8213
1509,8677
1509,8677
24484,8677
1509,8677
1509,8677
24484,8677
1509,8677
24484,8677
24484,8677
1509,8677
1509,8677
24484,8677
1509,8677
24484,8677
5478,8686
48173,8686
5478,8686
48173,8686
48173,8686
5478,8686
48173,8686
5478,8686
48173,8686
5478,8686
5478,8686
48173,8686
5478,8686
5478,8686
5478,8686
5478,8686
46739,8686
5478,8686
5478,8686
5478,8686
48173,8686
5478,8686
48173,8686
5478,8686
5478,8686
5478,8686
5478,8686
5478,8686
5478,8686
5478,8686
5478,8686
5478,8686
48173,8686
5478,8686
5478,8686
5478,8686
5478,8686
1707,8732
1707,8732
1707,8732
1707,8732
1707,8732
1707,8732
1707,8732
1707,8732
1707,8732
1707,8732
1707,8732
1707,8732
1707,8732
1707,8732
1707,8732
41679,8799
35705,8799
35705,8799
41679,8799
41679,8799
35705,8799
41679,8799
21586,8799
35705,8799
41679,8847
16282,8847
16282,8847
16282,8847
16282,8847
41679,8847
16282,8847
16282,8847
20857,8847
16282,8847
35705,8847
47997,8847
16282,8847
35705,8847
35705,8847
21586,8847
16282,8847
41679,8847
16282,8847
35705,8847
41679,8847
9330,9018
37124,9018
32595,9018
9528,9393
9475,9393
9475,9393
9528,9393
1616,9952
732,10235
732,10235
33909,10306
7291,10388
7291,10388
48469,10441
21910,10531
21910,10531
21910,10531
21910,10531
1616,10734
