source,target
33224,131
16148,131
112660,131
9391,131
123811,131
20997,131
19193,131
21584,131
48705,131
13131,131
2479,131
16332,131
49182,131
94081,131
19992,131
106946,131
5058,131
17288,131
39517,131
102189,131
20073,131
9538,131
5641,131
32900,131
142527,131
48771,131
20436,131
136818,131
142162,131
34006,131
36180,131
149503,131
47888,131
24896,131
2512,131
103846,131
111960,131
139092,131
21050,131
89639,131
34593,131
97736,131
129448,131
32817,131
45120,131
57644,131
122479,131
40793,131
11895,131
18302,131
21801,131
14271,131
14768,131
19288,131
557,131
29344,131
2991,131
141708,131
27832,131
958,131
47316,131
28479,131
16101,131
29229,131
35815,131
11052,131
25269,131
83535,131
126556,131
61605,131
23750,131
38045,131
44212,131
100554,131
134289,131
16529,131
35821,131
15464,131
88786,131
117829,131
40533,131
43329,131
46289,131
64754,131
123714,131
121219,131
80180,131
33327,131
47589,131
2531,131
21628,131
5992,131
20213,131
146405,131
16965,131
19547,131
958,131
9048,131
133146,131
140704,131
43221,131
5389,131
110683,131
47729,131
2977,131
3960,131
55951,131
36982,131
48006,131
2186,131
11482,131
11841,131
19899,131
21914,131
109343,131
36239,131
89920,131
119305,131
14142,131
3742,131
35034,131
100500,131
112473,131
126746,131
40194,131
15454,131
837,131
16732,131
88068,131
110152,131
100795,131
45406,131
11080,131
36192,131
9947,131
226,131
42862,131
13540,131
9355,131
67723,131
855,131
40702,131
109168,131
15988,131
5632,131
962,131
4474,131
43060,131
44779,131
96388,131
23680,131
33867,131
103500,131
110603,131
11080,131
43545,131
103625,131
48771,131
45572,131
117803,131
79554,131
47019,131
103102,131
68813,131
140176,131
13292,131
18972,131
14603,131
80835,131
1463,131
133666,131
32657,131
20201,131
43586,131
91825,131
96219,131
28450,131
128095,131
15098,131
49267,131
118490,131
132442,131
145393,131
46173,131
56181,131
6163,131
109263,131
33977,131
29928,131
47953,131
48109,131
45253,131
4177,131
34964,131
49989,131
56110,131
34670,131
25940,131
6239,131
61249,131
16529,131
19354,131
2795,131
3969,131
146143,131
8480,131
23355,131
2625,131
112438,131
400,131
76028,131
35488,131
55374,131
117026,131
96380,131
50286,131
56052,131
149590,131
48492,131
83009,131
14665,131
127007,131
25207,131
84162,131
138050,131
130118,131
134876,131
141746,131
20535,131
38721,131
9142,131
23388,131
45339,131
49374,131
120262,131
57117,131
1995,131
68338,131
15098,131
2231,131
97941,131
14335,131
123811,131
106658,131
48109,131
35001,131
108958,131
89558,131
33315,131
