source,target
43107,0
38434,0
42030,0
4571,1
5267,1
24999,1
27808,2
25912,2
27955,2
12319,3
12960,3
37318,3
20208,4
49702,4
3035,4
18851,5
18646,5
32817,6
340,6
32045,7
4774,7
45366,8
45911,8
19186,9
1527,9
43303,10
34077,10
29232,10
18663,11
18375,11
17585,11
10597,12
8961,12
27643,13
34578,13
27106,13
32102,13
27062,13
3488,14
13873,14
13896,14
10316,14
13338,15
13761,15
45426,15
37840,15
42087,15
10780,16
12597,16
23750,17
18316,17
20155,17
30317,18
1582,18
21956,19
7666,19
2488,20
41141,20
40658,20
37385,20
37654,20
19473,20
42983,20
19743,20
20001,21
10824,21
33021,22
4641,22
4774,22
49184,22
34075,22
52665,23
23145,23
52526,23
42943,24
39705,24
22747,25
34378,25
22694,25
1016,25
22559,25
42550,26
42238,26
6440,27
15377,27
38897,27
21070,28
7376,28
21659,28
3950,29
42087,29
20028,30
20589,30
20186,30
43951,31
6077,31
16784,31
42012,32
10597,32
15628,32
37843,32
26558,33
7947,33
17269,33
17924,34
18663,34
17209,34
42012,35
37843,35
10595,35
15746,35
13982,36
43058,36
38590,36
12569,37
10098,37
13882,37
43642,38
40335,38
29622,38
26415,39
4787,39
23002,39
6175,40
5770,40
31158,41
43941,41
13873,42
13896,42
3853,42
37900,42
10316,42
45208,43
10229,43
43328,43
13953,44
41645,44
34657,44
42042,44
42422,44
20040,45
20820,45
17850,46
17209,46
18663,46
10342,47
10930,47
10507,47
10354,47
10144,47
10571,47
10969,47
10046,47
17818,48
17350,48
18663,48
44150,49
44697,49
44571,49
45370,49
50964,50
36250,50
42715,51
44063,51
39914,52
29646,52
49206,53
10593,53
12788,53
16652,54
929,54
44834,55
27017,55
11734,56
4831,56
11645,56
28789,56
25490,56
42943,56
41396,56
14309,56
30914,57
20832,57
2364,57
21091,58
50252,58
21133,58
29409,59
29123,59
29415,59
9042,60
9352,60
9192,60
9824,60
9828,60
9555,60
9331,60
9593,60
45622,60
20997,61
20038,61
21628,61
37561,62
51919,62
19743,63
41141,63
41076,63
28826,63
21682,64
31050,64
10593,64
21133,65
21091,65
6973,65
34314,66
36799,66
14901,67
10593,67
37843,68
10283,68
11424,68
11987,68
10654,68
11829,69
3950,69
32045,69
46574,70
46828,70
26145,71
36533,71
43793,72
23750,72
28811,73
29143,73
