Degree,frequency
1,1009
2,964
3,348
4,246
5,201
6,155
7,139
8,114
9,85
10,90
11,67
12,63
13,63
14,68
15,59
16,80
17,52
18,55
19,40
20,46
21,47
22,35
23,41
24,39
25,30
26,47
27,35
28,33
29,29
30,41
31,25
32,31
33,33
34,24
35,38
36,12
37,30
38,22
39,31
40,25
41,33
42,23
43,29
44,24
45,20
46,21
47,13
48,14
49,26
50,21
51,24
52,20
53,21
54,19
55,35
56,8
57,19
58,19
59,20
60,25
61,18
62,12
63,15
64,20
65,18
66,17
67,16
68,15
69,17
70,12
71,16
72,14
73,17
74,14
75,9
76,11
77,11
78,13
79,20
80,12
81,21
82,19
83,9
84,9
85,8
86,10
87,15
88,10
89,19
90,14
91,13
92,16
93,11
94,6
95,13
96,16
97,16
98,16
99,13
100,8
101,14
102,10
103,9
104,6
105,7
106,9
107,9
108,9
109,16
110,7
111,9
112,4
113,4
114,11
115,12
116,3
117,15
118,3
119,12
120,8
121,13
122,11
123,7
124,11
125,5
126,12
127,11
128,7
129,8
130,8
131,8
132,8
133,8
134,5
135,13
136,9
137,8
138,6
139,4
140,12
141,6
142,10
143,9
144,26
145,10
146,8
147,6
148,11
149,7
150,10
151,9
152,8
153,9
154,9
155,10
156,11
157,9
158,4
159,10
160,9
161,5
162,6
163,6
164,7
165,7
166,6
167,4
168,6
169,7
170,11
171,4
172,4
173,9
174,7
175,11
176,3
177,6
178,6
179,9
180,12
181,3
182,9
183,9
184,6
185,5
186,5
187,11
188,5
189,5
190,6
191,5
192,14
193,8
194,9
195,6
196,5
197,8
198,5
199,4
200,3
201,2
202,3
203,5
204,6
205,5
206,3
207,3
208,4
209,8
210,2
211,5
212,4
213,3
214,5
215,7
216,2
217,3
218,4
219,10
220,1
221,5
222,2
223,5
224,2
225,7
226,5
227,8
228,3
229,2
230,4
231,5
232,22
233,8
234,8
235,1
236,6
237,6
238,9
239,4
240,7
241,7
242,3
243,7
244,1
245,5
246,2
247,2
248,5
249,5
250,5
251,8
252,1
253,2
254,9
255,1
256,2
257,5
258,7
259,8
260,5
261,2
262,2
263,6
264,3
265,1
266,3
267,5
268,2
269,5
270,7
271,3
272,1
274,3
275,6
276,6
277,9
278,5
279,3
280,3
281,2
282,5
283,4
284,3
285,6
286,5
287,4
289,2
290,6
291,1
292,3
293,2
294,6
295,4
