n.id,numberOfConnectedEdges
"""DB04614""",101
"""DB13240""",842
"""DB07146""",8
"""DB00951""",9369
"""DB03472""",39
"""DB07162""",269
"""DB00747""",4540
"""DB02900""",191
"""DB08210""",2
"""DB05258""",1344
"""DB03315""",55
"""DB03006""",1213
"""DB02735""",5
"""DB08302""",2
"""DB04576""",1687
"""DB04960""",500
"""DB11156""",2776
"""DB07182""",22
"""DB04839""",1867
"""DB00210""",153
"""DB02690""",84
"""DB06764""",1490
"""DB09017""",1604
"""DB00946""",3451
"""DB03671""",45
"""DB07153""",47
"""DB00478""",645
"""DB11081""",58
"""DB07982""",3
"""DB03705""",1
"""DB01543""",172
"""DB01976""",197
"""DB07229""",2
"""DB08930""",1523
"""DB08140""",3
"""DB15718""",760
"""DB03949""",18
"""DB08342""",8
"""DB03963""",193
"""DB12987""",78
"""DB02725""",11
"""DB12345""",1
"""DB13609""",366
"""DB02178""",437
"""DB00370""",4535
"""DB01155""",1962
"""DB15898""",758
"""DB04547""",2
"""DB04272""",18927
"""DB04918""",1706
"""DB11698""",1199
"""DB15686""",26
"""DB02983""",81
"""DB16151""",732
"""DB01936""",2566
"""DB14655""",172
"""DB14733""",250
"""DB01420""",2664
"""DB05220""",10
"""DB11862""",734
"""DB07340""",194
"""DB08232""",177
"""DB00479""",5823
"""DB00714""",4682
"""DB07838""",2
"""DB11780""",1198
"""DB14074""",2
"""DB02169""",3165
"""DB12814""",1364
"""DB01054""",3215
"""DB01695""",74
"""DB12309""",1
"""DB00827""",1961
"""DB04568""",12
"""DB01091""",872
"""DB08711""",62
"""DB10315""",556
"""DB13612""",2978
"""DB01661""",1
"""DB08217""",4
"""DB00687""",2880
"""DB15366""",376
"""DB00275""",1643
"""DB04306""",3
"""DB01446""",23
"""DB00201""",17644
"""DB08621""",296
"""DB14542""",670
"""DB05414""",13
"""DB03890""",94
"""DB06228""",3920
"""DB05123""",9
"""DB11857""",732
"""DB04901""",810
"""DB08681""",355
"""DB07195""",3
"""DB04633""",188
"""DB00452""",13395
"""DB15277""",732
"""DB02360""",4
"""DB03889""",4
"""DB04370""",20
"""DB01986""",4
"""DB02222""",57
"""DB02957""",36
"""DB12022""",2
"""DB03135""",2
"""DB04907""",78
"""DB06274""",330
"""DB00424""",8895
"""DB01956""",6818
"""DB08284""",298
"""DB09203""",1482
"""DB07058""",65
"""DB04304""",6132
"""DB06233""",640
"""DB13072""",1
"""DB03570""",340
"""DB04914""",556
"""DB09047""",78
"""DB13365""",326
"""DB09185""",3806
"""DB11918""",78
"""DB07365""",14
"""DB02109""",90
"""DB02419""",3
"""DB07665""",2
"""DB12925""",14
"""DB07034""",2
"""DB11994""",1006
"""DB13860""",2772
"""DB08639""",247
"""DB12655""",2
"""DB12714""",51
"""DB15490""",1618
"""DB12976""",732
"""DB07351""",22
"""DB04732""",14
"""DB07387""",2
"""DB03455""",2
"""DB04202""",8
"""DB08159""",65
"""DB07278""",5
"""DB08238""",4
"""DB02079""",162
"""DB05076""",1006
"""DB09116""",26
"""DB04218""",2186
"""DB12941""",1002
"""DB03132""",111
"""DB12016""",1965
"""DB00019""",95
"""DB04699""",737
"""DB07712""",2
"""DB05426""",84
"""DB08291""",7
"""DB04378""",47
"""DB02547""",470
"""DB08128""",2
"""DB01015""",6342
"""DB02398""",3
"""DB04064""",25
"""DB08033""",20
"""DB00065""",2752
"""DB01321""",429
"""DB00889""",2444
"""DB03338""",8
"""DB08938""",818
"""DB09215""",2786
"""DB01418""",3711
"""DB04177""",85
"""DB04201""",6
"""DB07739""",3
"""DB07655""",4
"""DB05713""",1
"""DB00681""",21150
"""DB03732""",4
"""DB08132""",34
"""DB08181""",832
"""DB04000""",11
"""DB13867""",2404
"""DB00031""",1410
"""DB04897""",280
"""DB14186""",2
"""DB04141""",139
"""DB02068""",385
"""DB16001""",124
"""DB15066""",1902
"""DB06636""",1792
"""DB08018""",17
"""DB14025""",714
"""DB04318""",131
"""DB01390""",30566
"""DB00895""",803
"""DB01231""",1086
"""DB01584""",3
"""DB08152""",2
"""DB09069""",2
"""DB09062""",1592
"""DB09231""",2916
"""DB17538""",6
"""DB07433""",94
"""DB03490""",4
"""DB03185""",3
"""DB03829""",200
"""DB02241""",24
"""DB03863""",20
"""DB07577""",5
"""DB07969""",4
"""DB14921""",1996
"""DB07820""",1
"""DB11575""",849
"""DB12396""",732
"""DB04925""",1280
"""DB00552""",7069
"""DB00429""",44
"""DB02728""",12
"""DB03601""",255
"""DB03054""",141
"""DB00499""",6724
"""DB04717""",46
"""DB00666""",274
"""DB05395""",1339
"""DB00532""",3187
"""DB02724""",1
"""DB12008""",7
"""DB03435""",2016
"""DB04166""",3429
"""DB07683""",164
"""DB04125""",101
"""DB06850""",406
"""DB03028""",8
"""DB03190""",1071
"""DB01832""",25
"""DB00986""",1035
"""DB04250""",469
"""DB01131""",1772
"""DB02112""",180
"""DB04700""",13
"""DB07687""",6
"""DB12549""",78
"""DB15203""",1616
"""DB14031""",650
"""DB08414""",13
"""DB07533""",6
"""DB00131""",6959
"""DB08838""",2748
"""DB00461""",3509
"""DB06624""",1554
"""DB13667""",1592
"""DB06529""",1332
"""DB07474""",307
"""DB02251""",135
"""DB03065""",17
"""DB07541""",4
"""DB08171""",292
"""DB01128""",2675
"""DB07696""",2
"""DB02752""",4
"""DB07750""",15
"""DB08687""",46
"""DB00026""",2054
"""DB01587""",3033
"""DB03273""",6
"""DB12883""",1408
"""DB16098""",446
"""DB07425""",39
"""DB12916""",78
"""DB11826""",732
"""DB05197""",31
"""DB04480""",2
"""DB04958""",812
"""DB08846""",2974
"""DB01664""",8
"""DB06204""",2076
"""DB01607""",897
"""DB02334""",55
"""DB04033""",21
"""DB13845""",4
"""DB09260""",1716
"""DB07067""",3
"""DB13756""",726
"""DB00196""",9473
"""DB00610""",1570
"""DB08149""",101
"""DB03764""",77
"""DB11677""",2
"""DB04468""",3702
"""DB03240""",120
"""DB12798""",3
"""DB01969""",4
"""DB00166""",3241
"""DB06885""",5159
"""DB03320""",390
"""DB07882""",389
"""DB09517""",526
"""DB00029""",1406
"""DB00993""",8068
"""DB12951""",1352
"""DB13811""",78
"""DB11657""",732
"""DB12532""",2126
"""DB02242""",22
"""DB06962""",99
"""DB02555""",2
"""DB02045""",167
"""DB07844""",2
"""DB00545""",1075
"""DB04071""",13
"""DB11618""",82
"""DB08190""",75
"""DB04641""",16
"""DB08760""",100
"""DB06584""",556
"""DB08005""",7
"""DB09238""",2798
"""DB01007""",223
"""DB12884""",238
"""DB00375""",807
"""DB04867""",151
"""DB03220""",89
"""DB03942""",10
"""DB01751""",130
"""DB08683""",508
"""DB12279""",80
"""DB03264""",94
"""DB00944""",606
"""DB07653""",5
"""DB12081""",96
"""DB11342""",58
"""DB04490""",102
"""DB12290""",4
"""DB00980""",3519
"""DB01369""",513
"""DB16236""",1344
"""DB07207""",31
"""DB01400""",1350
"""DB07803""",6
"""DB02379""",62707
"""DB01298""",228
"""DB01281""",2050
"""DB11432""",110
"""DB13322""",820
"""DB00268""",2771
"""DB11091""",151
"""DB00806""",4588
"""DB01690""",112
"""DB04639""",6
"""DB07322""",10
"""DB09224""",3382
"""DB13944""",3088
"""DB12130""",1113
