n.id,numberOfConnectedEdges
"""MIR34A""",1
"""HLA-DPA1""",560
"""SF3A3""",261
"""CALN1""",319
"""MIR4494""",1
"""SERPINB8""",454
"""LAPTM4A-DT""",2
"""LINC00354""",2
"""MIR381HG""",1
"""ARID3C""",447
"""CCR7""",275
"""TMEM106C""",295
"""GMNN""",166
"""NPTX1""",344
"""MSTN""",336
"""FDFT1""",879
"""ASB4""",489
"""OR4A16""",595
"""FZD5""",485
"""PNLIPRP3""",528
"""PCDHB3""",954
"""GOLGA7B""",145
"""MPP1""",335
"""DBX2""",418
"""LINC00052""",2
"""SIGLECL1""",211
"""RTN2""",561
"""MIR2052HG""",1
"""MIR7855""",1
"""WFDC8""",236
"""VTRNA1-2""",1
"""KCNK6""",355
"""DNAJC5G""",228
"""CHRNB1""",485
"""NELFA""",637
"""LIN37""",238
"""SLC30A2""",303
"""GP2""",585
"""CCDC172""",279
"""L1TD1""",906
"""SFRP4""",403
"""LRRC63""",528
"""CRYM""",296
"""MIR181B1""",1
"""HLA-DRB3""",674
"""GPBAR1""",404
"""CMPK1""",168
"""GJA10""",600
"""GALP""",145
"""CD3D""",207
"""DIO3OS""",6
"""ELOVL2-AS1""",3
"""C9orf135""",292
"""MIR4752""",1
"""GID4""",271
"""TAS2R20""",314
"""TLR6""",683
"""PHF11""",299
"""HIGD2B""",142
"""CDH8""",922
"""MIR4739""",1
"""LCN1""",228
"""CNST""",716
"""CIRBP-AS1""",2
"""SERINC2""",546
"""XXYLT1-AS1""",1
"""LYSMD3""",304
"""SRMS""",571
"""MIR432""",1
"""IQCJ-SCHIP1""",535
"""MIR300""",1
"""FRGCA""",1
"""ZC3H7A""",739
"""LRP1-AS""",2
"""EXTL1""",624
"""PCDHAC1""",995
"""ADGRL1""",1295
"""MIR548H1""",1
"""ARMCX3""",219
"""LINC00331""",1
"""EQTN""",310
"""SSU72""",177
"""DHRS7""",454
"""DGKI""",931
"""NUB1""",563
"""LAMP5-AS1""",1
"""PANO1""",3
"""LINC02397""",1
"""ZNF37A""",611
"""H2AC16""",3
"""SHANK2""",1610
"""KCNMA1-AS1""",1
"""STK40""",400
"""MUC5AC""",4196
"""FAM20B""",352
"""RAD1""",290
"""RBAKDN""",2
"""BCKDHB""",471
"""PRDM16""",1315
"""LINC02505""",1
"""LINC00460""",2
"""LILRB4""",723
"""PRDM5""",674
"""LINC00294""",1
"""COMMD6""",163
"""S100A14""",109
"""KLHL1""",874
"""CCDC184""",237
"""CCSAP""",196
"""RBBP7""",251
"""PABPC4L""",367
"""PDCD6-AHRR""",185
"""PRRT2""",495
"""NBPF5P""",1
"""EEF1A1P5""",1
"""TMEM254-AS1""",5
"""CPVL-AS1""",1
"""PDCD10""",189
"""TPRG1-AS2""",1
"""TSPY9P""",10
"""SRGAP3-AS3""",1
"""TRIM32""",614
"""LRRC37A4P""",1
"""MMS19""",993
"""IGKV2D-30""",197
"""TANGO6""",1014
"""RNF180""",560
"""SNORA58""",1
"""CES5AP1""",1
"""C2CD4B""",436
"""MAN1A1""",562
"""SLC17A7""",424
"""RNA45SN3""",1
"""SCARNA23""",1
"""INO80B-WBP1""",325
"""ANKRD44-IT1""",1
"""EPHA1-AS1""",1
"""KCNIP4-IT1""",1
"""HOXC10""",373
"""TBC1D8-AS1""",1
"""ALMS1""",4398
"""TRMO""",512
"""MIR5006""",1
"""KCNQ1-AS1""",1
"""CPT1B""",784
"""BECN2""",237
"""MRPS35""",350
"""RFX3-AS1""",1
"""KRT76""",711
"""ZC3H11A""",695
"""AWAT2""",244
"""MIR3171""",1
"""CLDN1""",216
"""LINC00942""",1
"""LINC02136""",1
"""TAAR1""",366
"""PICK1""",373
"""KCNH3""",767
"""SNORA7A""",1
"""MKRN1""",586
"""ATP5F1C""",273
"""WNT4""",355
"""GABRP""",483
"""MIR4667""",1
"""IPO5P1""",2
"""TRIM41""",645
"""AP3M1""",336
"""PIDD1""",1117
"""SNX24""",244
"""BBX""",1006
"""NXF2B""",251
"""MIR941-1""",1
"""RORB-AS1""",1
"""CCDC144NL""",2
"""DENND10P1""",2
"""MIR6165""",1
"""LINC00574""",2
"""NXPE2""",553
"""CASC8""",2
"""NXNL2""",231
"""ZNF418""",824
"""ANP32A-IT1""",1
"""BPIFB1""",441
"""LINC02121""",1
"""LINC02548""",1
"""GLYCTK-AS1""",1
"""TFAP2D""",479
"""FANCM""",1977
"""MTMR11""",699
"""SNORD114-7""",1
"""BTN2A3P""",2
"""NR2E3""",444
"""ZDHHC13""",541
"""LINC01288""",1
"""C2orf83""",7
"""GOLGA6L2""",1218
"""LINC00051""",1
"""ZNF705E""",211
"""SEPSECS-AS1""",1
"""BPIFB6""",497
"""TRB""",4
"""SMAD5-AS1""",2
"""BUD13""",646
"""SNORA63C""",1
"""LINC02734""",2
"""MIR5787""",1
"""CDKL2""",540
"""MTCL1""",2186
"""ZNF205""",623
"""TRIAP1""",72
"""ZNF706""",69
"""SCARNA5""",1
"""MED26""",694
"""NCK1""",310
"""RIPK2""",406
"""ZSCAN23""",329
"""LINC02103""",1
"""TSTD2""",470
"""TECR""",384
"""CRYM-AS1""",2
"""DLG3-AS1""",2
"""LINC02452""",1
"""SLC26A6""",801
"""PHEX""",619
"""LINC01405""",1
"""SPATA16""",612
"""SHISAL2B""",148
"""LINC01794""",4
"""APOLD1""",325
"""LINC02608""",3
"""MAIP1""",272
"""SPEGNB""",201
"""EGFL7""",346
"""SPATA3""",406
"""GCNA""",560
"""IARS2""",882
"""CERS3""",392
"""TSC22D3""",201
"""CDKL1""",326
"""SSX4""",9
"""DOP1B""",2054
"""TTTY8""",1
"""CTHRC1""",283
"""UBA3""",417
"""ARMCX5-GPRASP2""",12
"""FAM43A""",375
"""IL15""",165
"""EPHA10""",1214
"""FTLP10""",1
"""SH2D3A""",687
"""MS4A1""",313
"""OR6C68""",401
"""SLC22A2""",618
"""LRRC28""",408
"""FLVCR1""",511
"""METTL2B""",445
"""UPK1A""",333
"""LYPD8""",135
"""LINC02019""",1
"""SNORA68B""",1
"""TMEM65""",169
"""LIX1L""",300
"""GOLGA2P6""",1
"""LINC00824""",2
"""PPOX""",619
"""KCNC2""",663
"""COX7A2""",200
"""ELMOD2""",255
"""KCNA6""",482
"""ZNF469""",4093
"""SNORD89""",1
"""S100A1""",146
"""SERTAD4-AS1""",4
"""NAV2-AS5""",1
"""C20orf141""",165
"""PSMF1""",339
"""LINC02179""",1
"""CHAC2""",225
"""TMPRSS5""",555
"""USP9X""",1067
"""PSIP1""",524
"""ZNF503-AS1""",4
"""MIR6760""",1
"""KRT28""",476
"""RPP38""",310
"""DYNLT4""",266
"""GTF2H2C""",147
"""IL20RB-AS1""",2
"""DDX4""",605
"""STMN2""",136
"""SMIM7""",152
"""TIMM10""",67
