Degree,frequency
1,17892
2,23075
3,811
4,508
5,244
6,231
7,157
8,192
9,244
10,115
11,104
12,104
13,96
14,69
15,83
16,66
17,47
18,97
19,93
20,61
21,54
22,55
23,62
24,59
25,77
26,45
27,201
28,55
29,676
30,144
31,134
32,17
33,15
34,3698
35,9952
36,16
37,15
38,13
39,8
40,11
41,278
42,32
43,257
44,30
45,899
46,69
47,11
48,34
49,14
50,35
51,7
52,29
53,33
54,15
55,2
56,11
57,9
58,23
59,6
60,71
61,139
62,39
63,91
64,22
65,32
66,10
67,10
68,8
69,8
70,15
71,8
72,30
73,93
74,5
75,8
76,6
77,4
78,25
79,96
80,748
81,430
82,36
83,4
84,3
85,1
86,1
87,1
88,1
89,2
90,5
92,2
93,1
94,1
95,2
96,1
97,1
98,2
99,1
100,5
101,1
102,2
103,1
104,1
105,1
106,1
107,2
109,1
110,4
111,3
112,1
114,435
116,3
117,1
118,1
122,1
123,2
126,3
127,7
128,3
130,31
131,30
132,30
133,29
134,29
135,29
136,32
137,30
138,29
139,28
140,30
141,30
142,29
143,27
144,32
145,30
146,32
147,29
148,24
149,33
150,24
151,30
152,34
153,26
154,21
155,24
156,27
157,35
158,32
159,1
162,2
168,6
169,1
174,1
175,1
176,1
182,11
183,1
192,1
207,1
211,1
213,1
219,1
222,1
225,1
227,1
230,4
232,1
244,1
245,1
260,1
261,1
269,1
278,1
319,3
320,3
321,16
322,46
323,90
324,27
339,1
341,1
351,1
366,1
377,1
380,1
381,1
383,9
384,16
385,29
386,5
390,1
420,1
435,1
464,1
471,1
490,1
496,1
537,1
569,1
587,1
606,1
636,1
658,1
667,1
751,1
774,1
782,1
822,1
870,2
871,6
876,1
939,1
953,1
969,1
974,1
987,1
1075,1
1138,1
1179,1
1247,6
1251,1
1252,1
1253,1
1254,1
1258,1
1259,1
1260,1
1261,1
1286,1
1360,1
1368,1
1526,1
1566,1
1573,1
1585,1
1592,1
1620,1
1672,1
1737,1
1741,1
1773,1
1788,2
1827,1
1845,1
1851,1
1870,1
1876,1
1899,1
1915,1
1935,1
1936,1
1942,2
1943,1
1945,1
2029,1
2257,1
2453,1
2490,1
2492,1
2493,1
2494,1
2495,1
2594,1
2746,1
2771,1
2816,1
2851,1
3695,1
4200,1
4214,1
5800,1
5810,1
5812,1
7417,1
7429,1
7430,1
25250,1
25283,1
25878,1
45988,1
46002,1
46387,1
46514,1
46598,1
46648,1
48307,1
48539,1
