outDegree,frequency
1,1964
2,683
3,435
4,282
5,253
6,158
7,152
8,93
9,83
10,53
11,44
12,57
13,45
14,22
15,17
16,61288
17,6656
18,3324
19,2099
20,1353
21,976
22,780
23,648
24,467
25,419
26,355
27,305
28,301
29,315
30,284
31,273
32,2575
33,447
34,289
35,185
36,197
37,124
38,119
39,118
40,92
41,101
42,112
43,90
44,92
45,80
46,76
47,60
48,88
49,71
50,61
51,72
52,54
53,49
54,65
55,54
56,53
57,58
58,38
59,51
60,49
61,43
62,37
63,35
64,48
65,43
66,34
67,38
68,36
69,31
70,40
71,33
72,32
73,31
74,36
75,32
76,28
77,31
78,29
79,38
80,35
81,38
82,25
83,37
84,27
85,24
86,28
87,31
88,25
89,25
90,30
91,27
92,27
93,25
94,14
95,29
96,24
97,25
98,34
99,20
100,22
101,21
102,17
103,25
104,26
105,29
106,23
107,20
108,19
109,19
110,30
111,19
112,25
113,32
114,16
115,22
116,23
117,30
118,21
119,13
120,22
121,22
122,20
123,26
124,20
125,19
126,26
127,24
128,17
129,24
130,22
131,18
132,16
133,24
134,21
135,19
136,20
137,25
138,20
139,19
140,15
141,18
142,25
143,23
144,16
145,37
146,26
147,17
148,19
149,23
150,13
151,31
152,27
153,19
154,17
155,18
156,21
157,20
158,15
159,23
160,11
161,24
162,23
163,17
164,30
165,16
166,23
167,20
168,25
169,18
170,20
171,19
172,16
173,15
174,17
175,18
176,23
177,23
178,22
179,16
180,26
181,24
182,12
183,24
184,14
185,26
186,25
187,21
188,25
189,19
190,36
191,20
192,22
193,33
194,21
195,18
196,18
197,24
198,22
199,30
200,22
201,20
202,39
203,17
204,19
205,23
206,28
207,25
208,28
209,35
210,27
211,28
212,31
213,26
214,21
215,28
216,20
217,28
218,24
219,20
220,23
221,24
222,30
223,23
224,29
225,27
226,24
227,24
228,25
229,35
230,17
231,23
232,30
233,20
234,24
235,23
236,22
237,16
238,16
239,22
240,26
241,31
242,24
243,17
244,22
245,36
246,27
247,20
248,39
249,22
250,29
251,30
252,29
253,30
254,17
255,20
256,28
257,26
258,17
259,24
260,36
261,27
262,27
263,31
264,23
265,23
266,25
267,24
268,28
269,18
270,29
271,22
272,29
273,20
274,24
275,34
276,23
277,23
278,17
279,26
280,20
281,16
282,15
283,22
284,23
285,21
286,18
287,28
288,26
289,21
290,19
291,28
292,25
293,23
294,29
295,20
296,26
297,29
298,20
299,14
300,23
301,20
302,25
303,18
304,21
305,21
306,21
307,19
308,19
309,24
310,31
311,21
312,22
313,31
314,19
315,24
316,28
317,24
318,21
319,21
320,28
321,20
322,20
323,24
324,25
325,20
326,30
327,25
328,29
329,24
330,18
331,18
332,21
333,27
334,28
335,13
336,25
337,17
338,19
339,25
340,14
341,28
342,37
343,20
344,28
345,29
346,20
347,23
348,26
349,30
350,20
351,27
352,21
353,23
354,31
355,26
356,15
357,27
358,13
359,25
360,22
361,20
362,18
363,22
364,24
365,19
366,21
367,14
368,21
369,30
370,23
371,13
372,15
373,14
374,24
375,29
376,14
377,23
378,26
379,16
380,17
381,18
382,20
383,21
384,21
385,19
386,21
387,22
388,20
389,19
390,27
391,15
392,18
393,18
394,23
395,22
396,22
397,17
398,24
399,24
400,19
401,27
402,19
403,17
404,18
405,16
406,13
407,22
408,18
409,25
410,30
411,29
412,21
413,21
414,25
415,16
416,20
417,15
418,19
419,18
420,25
421,22
422,15
423,17
424,17
425,28
426,16
427,21
428,23
429,24
430,25
431,16
432,19
433,24
434,15
435,18
436,16
437,23
438,21
439,31
440,28
441,21
442,15
443,21
444,16
445,13
446,16
447,17
448,12
449,17
450,16
451,23
452,16
453,19
454,16
455,23
456,21
457,10
458,11
459,16
460,12
461,14
462,18
463,13
464,19
465,17
466,15
467,16
468,11
469,16
470,15
471,20
472,17
473,12
474,15
475,14
476,21
477,16
478,21
479,23
480,10
481,16
482,18
483,17
484,23
485,25
486,14
487,15
488,20
489,23
490,20
491,16
492,23
493,12
494,11
495,16
496,12
497,15
498,17
499,11
500,18
501,15
502,18
503,16
504,15
505,16
506,13
507,10
508,20
509,22
510,25
511,11
512,16
513,19
514,17
515,10
516,17
517,7
518,16
519,6
520,23
521,9
522,11
523,16
524,15
525,14
526,9
527,21
528,16
529,15
530,18
531,15
532,12
533,11
534,11
535,18
536,19
537,10
538,14
539,15
540,22
541,13
542,6
543,15
544,16
545,18
546,11
547,16
548,11
549,16
550,15
551,11
552,9
553,14
554,22
555,18
556,15
557,14
558,15
559,7
560,17
561,18
562,8
563,13
564,17
565,16
566,9
567,17
568,13
569,8
570,23
571,22
572,15
573,17
574,17
575,16
576,17
577,9
578,12
579,9
580,18
581,13
582,13
583,20
584,16
585,11
586,17
587,12
588,16
589,13
590,21
591,14
592,14
593,20
594,10
595,14
596,16
597,10
598,16
599,7
600,14
601,14
602,6
603,13
604,13
605,13
606,14
607,13
608,10
609,12
610,15
611,15
612,12
613,10
614,8
615,17
616,6
617,12
618,11
619,14
620,11
621,7
622,16
623,13
624,12
625,12
626,10
627,13
628,15
629,19
630,12
631,10
632,9
633,8
634,13
635,9
636,19
637,12
638,9
639,6
640,15
641,15
642,8
643,9
644,10
645,9
646,7
647,13
648,12
649,9
650,14
651,9
652,17
653,8
654,14
655,9
656,7
657,9
658,14
659,13
660,17
661,14
662,12
663,7
664,15
665,10
666,9
667,10
668,10
669,10
670,11
671,10
672,11
673,15
674,12
675,11
676,13
677,4
678,12
679,8
680,6
681,10
682,14
683,16
684,9
685,9
686,12
687,10
688,10
689,11
690,6
691,16
692,12
693,10
694,12
695,16
696,10
697,13
698,8
699,10
