nodeID,EgdeCount
"""P17174""",20
"""P00505""",20
"""P01009""",6
"""P01023""",1
"""Q8TD30""",30
"""P24298""",30
"""P04746""",8
"""P05062""",3
"""P02760""",2
"""P02768""",30
"""P08519""",2
"""P02647""",2
"""P04114""",2
"""P16860""",10
"""P09871""",1
"""P02746""",1
"""P01258""",55
"""P00736""",1
"""P02747""",1
"""P02745""",1
"""P00450""",2
"""P10645""",2
"""P01031""",1
"""P0C0L4""",4
"""P01024""",4
"""P02741""",2
"""P09104""",2
"""P00451""",2
"""P00742""",2
"""P03951""",2
"""P00740""",2
"""P08709""",2
"""P12259""",2
"""P00748""",2
"""P02771""",24
"""P02671""",2
"""P06744""",1
"""P01225""",16
"""P02794""",8
"""P02751""",1
"""P01350""",1
"""P19440""",16
"""P00738""",7
"""P05155""",2
"""P05019""",1
"""P01589""",2
"""P08476""",2
"""P01308""",8
"""P07288""",1
"""P16233""",6
"""P00338""",24
"""P01229""",5
"""Q8WXI7""",1
"""P02818""",1
"""P05121""",1
"""P04054""",2
"""P05164""",2
"""P07225""",1
"""P05186""",45
"""P01236""",8
"""P04070""",16
"""P01270""",4
"""P00797""",1
"""P02753""",1
"""P04278""",12
"""P00734""",1
"""P01266""",2
"""P45379""",2
"""P19429""",2
"""P20396""",1
"""P01222""",18
"""P02766""",2
"""P04275""",8
