nodeID,EgdeCount
"""Q15173""",5
"""Q2M2I8""",2
"""Q13131""",183
"""Q9Y478""",9
"""Q07912""",14
"""P37023""",4
"""P00519""",232
"""Q13362""",4
"""P42684""",22
"""P54646""",48
"""P36896""",2
"""Q9UGJ0""",9
"""Q96L96""",5
"""Q3MIX3""",1
"""Q9Y243""",21
"""Q9UM73""",13
"""P31749""",385
"""Q96QP1""",1
"""P31751""",83
"""P10398""",6
"""P25098""",81
"""P35626""",16
"""O14965""",136
"""Q96GD4""",219
"""Q9UQB9""",10
"""Q13535""",118
"""Q13705""",1
"""Q13315""",319
"""Q9NSY1""",2
"""O60885""",1
"""P51451""",7
"""P51813""",19
"""O00238""",6
"""P11274""",3
"""P15056""",19
"""Q8IWQ3""",6
"""P53004""",3
"""Q9UIG0""",2
"""P11021""",1
"""Q8TDC3-2""",7
"""Q8TDC3""",4
"""Q06187""",22
"""O43683""",28
"""Q9UNH5""",12
"""O60729""",12
"""Q9Y5P4""",1
"""P50613""",64
"""Q92772""",1
"""P06493""",693
"""Q9NYV4""",8
"""Q00526""",16
"""P11802""",81
"""Q14004""",8
"""Q9UQ88""",3
"""P21127""",2
"""O76039""",26
"""Q8IZL9""",2
"""Q96Q40""",1
"""Q00535""",165
"""Q9UQ88-10""",1
"""P50750""",68
"""P49336""",15
"""Q07002""",3
"""Q9BWU1""",6
"""Q00534""",51
"""O00311""",49
"""Q16667""",1
"""O94921""",10
"""Q00536""",4
"""Q15131""",2
"""P24941""",433
"""Q9HAZ1""",3
"""Q96SN8""",1
"""P49760""",11
"""Q9UPZ9""",3
"""P49759""",14
"""O96017""",79
"""P49761""",1
"""O14757""",200
"""O95476""",1
"""P68400""",594
"""O15194""",13
"""P67870""",18
"""P41240""",11
"""P19784""",27
"""O14595""",11
"""P07333""",5
"""Q9GZU7""",12
"""O14936""",5
"""O14578""",3
"""Q9UIK4""",3
"""Q9Y4B6""",2
"""Q08345""",2
"""O15075""",1
"""P53355""",24
"""O43293""",21
"""Q09013""",1
"""Q9NR20""",1
"""Q9NRW4""",1
"""O00418""",13
"""Q9BV47""",5
"""P51452""",4
"""Q9P2K8""",4
"""O43781""",3
"""Q9Y463""",13
"""Q9NZJ5""",5
"""Q9BQI3""",2
"""Q13627""",45
"""P19525""",22
"""Q92630""",46
"""P00533""",101
"""Q99504""",1
"""Q9UF33""",1
"""P54753""",1
"""Q99502""",1
"""O14638""",1
"""P29323""",4
"""P29322""",3
"""O75460""",1
"""Q15303""",3
"""P54762""",1
"""P04626""",17
"""P21709""",1
"""P54756""",1
"""P29317""",12
"""P54764""",4
"""Q15375""",1
"""Q969H0""",1
"""Q14289""",17
"""P16591""",21
"""Q05397""",30
"""Q16875""",1
"""P07332""",4
"""Q8IXL6""",10
"""P06241""",154
"""P09769""",12
"""P42685""",5
"""P11362""",29
"""P22455""",3
"""P22607""",11
"""P21802""",6
"""P36888""",13
"""O14976""",2
"""Q8WTQ7""",2
"""Q96GX5""",2
"""P34947""",21
"""P49841""",390
"""P49840""",74
"""Q15835""",4
"""P49841-2""",1
"""P32298""",12
"""P43250""",10
"""Q9H422""",1
"""Q86Z02""",4
"""P08631""",38
"""Q9H2X6""",62
"""Q8TF76""",1
"""P26927""",1
"""P57058""",1
"""Q14164""",43
"""P08069""",30
"""O14920""",88
"""O15111""",51
"""O60674""",47
"""Q13418""",9
"""Q9NWZ3""",33
"""P51617""",15
"""P06213""",46
"""Q6NYC1""",1
"""Q96J02""",2
"""P23458""",12
"""Q08881""",12
"""P52333""",23
"""P49674""",58
"""P48730""",96
"""P17612-2""",1
"""Q13976""",51
"""Q8N752""",1
"""Q16566""",11
"""Q13555""",8
"""Q9Y6M4""",4
"""P48729""",151
"""Q13237""",15
"""Q96NX5""",1
"""Q14012""",17
"""Q13554""",9
"""Q13976-2""",8
"""P54819""",1
"""Q13557""",19
"""P12277""",1
"""Q9HCP0""",8
"""P17612""",630
"""Q13557-8""",1
"""P22694""",6
"""P78368""",7
"""Q9UQM7""",152
"""P50053""",1
"""Q6P2M8""",4
"""Q05655""",144
"""Q15349""",4
"""O94806""",6
"""P05771-2""",52
"""P46020""",1
"""P17252""",515
"""P41743""",47
"""Q8N5S9""",7
"""P06239""",99
"""Q15418""",78
"""Q9BZL6""",20
"""Q15139""",81
"""P05129""",40
"""Q9UBS0""",9
"""O95835""",27
"""P14618-2""",3
"""P23443-2""",2
"""O75582""",27
"""P24723""",15
"""P51812""",60
"""Q8IVT5""",1
"""Q04759""",45
"""P10721""",14
"""Q9UK32""",2
"""P05771""",73
"""P14618""",9
"""Q02156""",75
"""Q05513""",98
"""O75676""",5
"""P23443""",56
"""Q96RR4""",7
"""P43405""",68
"""Q9NRM7""",26
"""Q8IWU2""",3
"""Q5S007""",90
"""P53671""",3
"""P53667""",2
"""Q38SD2""",20
"""Q6ZMQ8""",1
"""Q9NYL2""",5
"""P27448""",6
"""Q9Y2U5""",3
"""P41279""",27
"""Q99683""",27
"""P20794""",2
"""O43318""",38
"""O95819""",11
"""Q99759""",8
"""Q16644""",3
"""P07948""",96
"""Q92918""",6
"""O43283""",1
"""O60307""",1
"""Q96L34""",1
"""Q9P0L2""",13
"""O95382""",5
"""Q9Y4K4""",1
"""Q8IW41""",12
"""P27448-3""",4
"""P42679""",3
"""P49137""",78
"""Q02779""",7
"""Q8IVH8""",7
"""Q99558""",15
"""Q5TCX8""",1
"""Q12852""",2
"""Q12851""",4
"""Q16584""",12
"""Q13233""",7
"""Q9Y6R4""",2
"""P29376""",1
"""Q7KZI7""",29
"""P45983-2""",1
"""P45984""",70
"""Q8N4C8""",5
"""P53779""",18
"""P08581""",28
"""P45984-2""",2
"""P28482""",479
"""Q16539""",252
"""P31152""",1
"""Q9BUB5-2""",1
"""Q9BUB5""",10
"""Q13164""",26
"""Q16659""",4
"""Q9HBH9""",6
"""Q14680""",27
"""Q8TD08""",12
"""P53778""",32
"""Q12866""",9
"""Q15759""",37
"""O15264""",28
"""P27361""",415
"""P45983""",171
"""P46734""",6
"""P30304""",5
"""P00540""",2
"""Q8NB16""",1
"""P52564""",10
"""Q02750""",20
"""P30307""",4
"""Q5VT25""",5
"""Q9Y5S2""",3
"""P36507""",3
"""P42345""",141
"""O14733""",9
"""P45985""",16
"""Q13163""",2
"""P22392""",3
"""Q32MK0""",4
"""Q15746""",5
"""Q969V5""",2
"""P15531""",4
"""Q8NEV4""",5
"""Q9H1R3""",1
"""Q96PY6""",11
"""Q8TDX7""",7
"""Q6P3R8""",1
"""Q9UBE8""",24
"""P51955""",38
"""Q8NG66""",4
"""Q9HC98""",25
"""P51956""",2
"""Q8TD19""",6
"""O60285""",10
"""P04629""",21
"""Q16620""",12
"""Q9H093""",1
"""O95747""",19
"""Q96RG2""",5
"""O00443""",2
"""P35558""",2
"""Q9BTU6""",1
"""O96013""",22
"""Q9P286""",12
"""Q9NQU5""",9
"""Q13177""",41
"""Q13153""",82
"""P27986""",1
"""Q15118""",6
"""Q01813""",1
"""P00558""",5
"""O60346""",10
"""P16234""",6
"""Q6ZVD8""",10
"""P09619""",32
"""Q16654""",5
"""O15530""",36
"""Q15119""",5
"""Q15120""",4
"""Q16512""",14
"""P42338""",1
"""Q9H4B4""",30
"""O00444""",23
"""P48736""",5
"""P11309""",78
"""P62136""",20
"""Q9BXM7""",20
"""Q6P5Z2""",2
"""Q9NYY3""",15
"""Q86V86""",7
"""Q9P1W9""",15
"""Q99640""",2
"""P53350""",313
"""O00329""",1
"""P36873""",12
"""P42336""",5
"""P62140""",12
"""Q16513""",3
"""O00743""",2
"""P60510""",4
"""P16298""",21
"""P49593""",1
"""O15297""",9
"""P53041""",4
"""Q13523""",1
"""P24666""",1
"""O75688""",5
"""Q08209""",19
"""P35813""",5
"""Q5SGD2""",1
"""P62714""",25
"""P67775""",58
"""Q96S44""",1
"""P51817""",2
"""P48454""",19
"""P78527""",145
"""Q15257""",2
"""P23469""",3
"""P29350""",18
"""P17706""",25
"""P35236""",2
"""P18433""",4
"""P18031""",30
"""Q9HD43""",4
"""Q15256""",2
"""P23470""",2
"""Q05209""",12
"""P43378""",5
"""Q9Y2R2""",5
"""P26045""",2
"""P60484""",4
"""Q99952""",3
"""P54829""",2
"""Q16825""",2
"""O14522""",2
"""Q12923""",5
"""P23468""",2
"""Q06124""",19
"""P10586""",10
"""Q12913""",21
"""P04049""",13
"""Q15678""",1
"""P08575""",4
"""Q13882""",20
"""P23467""",7
"""P07949""",33
"""O14730""",1
"""Q13464""",76
"""O75116""",21
"""Q8IXW5""",24
"""Q8IYW5""",1
"""Q04912""",7
"""Q9Y572""",8
"""O43353""",6
"""Q9BRS2""",1
"""Q01973""",1
"""Q13546""",7
"""Q9H0K1""",12
"""P57059""",3
"""Q96BR1""",10
"""Q9HBY8""",6
"""O00141""",58
"""Q9H2G2""",5
"""Q96Q15""",6
"""O00506""",5
"""Q15831""",42
"""Q8TE77""",1
"""O75716""",4
"""Q9P289""",13
"""P12931""",586
"""Q9BYT3""",1
"""P49842-1""",1
"""Q76I76""",1
"""Q9UEW8""",13
"""Q9Y6E0""",10
"""Q9UEE5""",1
"""P78362""",4
"""Q13043""",45
"""Q8WYL5""",3
"""Q13188""",35
"""Q9H3Y6""",5
"""Q9Y2H1""",6
"""Q15208""",10
"""Q96SB4""",19
"""O94804""",4
"""Q6J9G0""",2
"""Q7L7X3""",8
"""Q9UL54""",5
"""P35269""",4
"""P21675""",4
