nodeID,EgdeCount
"""P30926""",1
"""Q9UKV3""",2
"""O94805""",1
"""P26439""",1
"""Q13131""",3
"""P63151""",2
"""Q96AP0""",3
"""P31946""",2
"""Q15822""",1
"""O43741""",3
"""O60706""",1
"""Q6UWZ7""",1
"""Q9H221""",1
"""Q9Y478""",1
"""O75077""",1
"""P36544""",2
"""Q9P0K1""",1
"""P12814""",2
"""Q9NRA8""",1
"""P27348""",5
"""Q9UGM1""",1
"""P62736""",2
"""P62258""",7
"""P54619""",3
"""P43681""",1
"""Q07912""",1
"""Q9NY61""",1
"""Q15018""",2
"""P00519""",3
"""P30154""",1
"""P01011""",1
"""P28222""",3
"""Q9H222""",1
"""Q15172""",1
"""P17787""",1
"""P28221""",4
"""Q7Z5R6""",4
"""Q04917""",1
"""P63267""",1
"""Q15027""",1
"""O43707""",5
"""P42684""",1
"""P54646""",2
"""P61981""",2
"""Q9P2A4""",1
"""Q9UGI9""",1
"""P08908""",7
"""Q9UKU7""",1
"""P30153""",9
"""O14561""",2
"""P01009""",2
"""P12821""",1
"""Q9UG63""",1
"""Q8IZP0""",8
"""P63104""",2
"""Q9GZZ6""",1
"""P35348""",1
"""P01023""",1
"""P05067""",13
"""Q13444""",3
"""P08195""",2
"""P60709""",22
"""O43184""",2
"""P63261""",3
"""Q676U5""",1
"""O96019""",31
"""Q12904""",2
"""Q99996""",1
"""Q9HCK5""",1
"""Q9H8T0""",4
"""P00813""",2
"""P35858""",1
"""Q9UKV8""",5
"""Q12802""",1
"""P39687""",5
"""O95831""",1
"""P08588""",3
"""Q9Y653""",1
"""Q09666""",1
"""Q9BXJ7""",1
"""Q92667""",1
"""Q8WXG9""",1
"""P51825""",2
"""Q6ZN18""",1
"""Q13155""",1
"""P07550""",4
"""Q9UHB7""",1
"""P05141""",4
"""P42568""",1
"""Q92688""",3
"""P24588""",4
"""Q8N157""",3
"""Q9Y2J4""",1
"""Q4VCS5""",3
"""Q8IY63""",1
"""Q13443""",2
"""P31749""",9
"""P55196""",1
"""Q9ULX6""",1
"""Q02952""",1
"""Q15848""",1
"""Q9HAR2""",3
"""P35869""",1
"""P35612""",1
"""O43918""",1
"""P78325""",1
"""P31751""",2
"""Q9Y4W6""",1
"""P08913""",1
"""Q9UKV5""",4
"""O00116""",1
"""Q96IF1""",4
"""O15084""",1
"""O14617""",5
"""O60306""",2
"""P10275""",6
"""P10398""",1
"""O00189""",1
"""Q10567""",3
"""P08133""",1
"""P53677""",4
"""Q92888""",2
"""O14744""",25
"""Q13367""",2
"""O14727""",2
"""O43299""",2
"""O15143""",1
"""Q9Y6B7""",1
"""Q96BI3""",7
"""Q8NFD5""",3
"""O75843""",3
"""O95782""",2
"""Q9BXS5""",3
"""Q2VPB7""",2
"""Q9UM13""",1
"""Q63HQ0""",1
"""Q9H9E1""",1
"""P07355""",1
"""P25054""",10
"""Q12955""",1
"""Q9Y587""",1
"""Q68DC2""",1
"""O14791""",2
"""Q8N726""",1
"""P59780""",3
"""Q9H0R1""",2
"""P01019""",2
"""P55087""",2
"""Q4LE39""",6
"""Q9BY76""",3
"""Q9UPM8""",1
"""P02647""",2
"""Q9NVM4""",1
"""P36404""",3
"""Q8WW43""",2
"""Q92572""",3
"""O43747""",4
"""P40616""",1
"""P61966""",3
"""P53365""",1
"""Q9UJX5""",1
"""Q9UJX3""",2
"""Q9UJX4""",1
"""Q15052""",2
"""Q99873""",3
"""Q6UB99""",1
"""P27695""",2
"""Q92754""",1
"""P05549""",1
"""Q9Y2T2""",2
"""P03950""",1
"""P56377""",2
"""O00213""",3
"""P55345""",2
"""Q86VW2""",1
"""Q92974""",2
"""P84077""",1
"""Q9Y6Q5""",2
"""Q6ZSZ5""",1
"""Q96PC3""",2
"""Q68CP9""",1
"""Q9NUS5""",2
"""Q02410""",2
"""Q14155""",4
"""Q9H1A4""",1
"""Q96CW1""",2
"""Q9UJX6""",1
"""P29972""",1
"""O14497""",19
"""P29374""",1
"""P20073""",1
"""O00203""",3
"""Q9BZZ5""",2
"""P61160""",1
"""P15336""",1
"""Q9Y294""",5
"""P30049""",1
"""P48047""",1
"""P05496""",1
"""Q07817""",1
"""Q8IXJ9""",1
"""Q8N3C0""",1
"""Q9H6S1""",1
"""Q8WXF7""",3
