nodeID,EgdeCount
"""P11230""",223
"""P13798""",2909
"""Q9Y615""",40
"""Q96QF7""",195
"""P78314""",163
"""Q9H2F3""",241
"""Q8TB40""",171
"""Q6H8Q1""",78
"""P53396""",1869
"""P22760""",164
"""P49748""",1232
"""Q15173""",169
"""P30926""",597
"""Q8N9L9""",148
"""Q9NP78""",220
"""Q15057""",151
"""Q86UQ4""",348
"""Q70Z44""",70
"""P28566""",349
"""Q9UKV3""",604
"""Q9NUQ8""",95
"""Q9NP58""",1020
"""A7E2S9""",18
"""Q99758""",1161
"""P02708""",598
"""P31937""",169
"""P35368""",774
"""O95336""",259
"""P05408""",346
"""P28330""",1260
"""O60516""",140
"""P36639""",716
"""Q6P461""",35
"""O94805""",319
"""P02763""",3623
"""Q16537""",233
"""Q86UK0""",588
"""Q7L8J4""",23
"""Q9HC16""",3045
"""P32297""",812
"""P42025""",109
"""Q53FZ2""",291
"""P26439""",972
"""Q4UJ75""",8
"""P61163""",164
"""P14060""",2267
"""Q2M2I8""",757
"""Q4G176""",155
"""Q8TC94""",41
"""Q96IU4""",48
"""Q13131""",1338
"""Q07001""",208
"""Q709F0""",135
"""Q9BYD9""",39
"""P30939""",463
"""Q9P1F3""",64
"""Q8IZY2""",1369
"""P52209""",1543
"""Q08043""",859
"""P30532""",984
"""P63151""",743
"""Q96AP0""",607
"""P31946""",1098
"""P68133""",4610
"""Q15822""",340
"""Q15825""",259
"""P17174""",623
"""O43506""",20
"""Q5T8D3""",49
"""Q04771""",1240
"""O75027""",501
"""Q8N0Z2""",202
"""P11229""",1140
"""Q6UXT9""",25
"""O43741""",457
"""P16219""",1159
"""P45381""",247
"""P00505""",5767
"""Q13085""",4207
"""Q9UDR5""",37
"""Q9BR61""",28
"""Q9NUJ1""",71
"""Q9ULC5""",1144
"""Q8IZ83""",92
"""Q9ULW3""",128
"""Q5TYW2""",10
"""Q9Y312""",87
"""Q99424""",416
"""Q9H845""",309
"""Q5VUR7""",2
"""O60706""",684
"""Q8WXI4""",190
"""Q86TX2""",865
"""O94929""",99
"""Q6UWZ7""",287
"""Q9H172""",368
"""Q9H221""",1535
"""Q9UKJ8""",52
"""O14678""",226
"""Q08AH3""",273
"""Q9Y478""",347
"""Q8N139""",201
"""Q5FVE4""",113
"""Q03154""",252
