nodeID,EgdeCount
"""Q9P0K1-2""",573
"""P11230""",465
"""P13798""",599
"""Q9Y615""",453
"""Q676U5-5""",255
"""P01009-3""",309
"""O96019-2""",155
"""Q96QF7""",545
"""P45844-5""",444
"""A5X5Y0-6""",448
"""P78314""",586
"""Q9H2F3""",373
"""P33121-3""",491
"""Q9P0K1-3""",540
"""Q8TB40""",300
"""Q969K4-2""",310
"""P11229-2""",232
"""Q9UKU0-1""",496
"""Q9ULC5-4""",493
"""Q6H8Q1""",623
"""Q6H8Q1-9""",586
"""P05067-7""",51
"""Q8NFV4-6""",241
"""P07510-2""",435
"""Q8WYK0-2""",140
"""Q8IZP0-5""",277
"""P53396""",784
"""Q9H0P0-3""",226
"""P22760""",383
"""P49748""",711
"""Q15173""",361
"""O95870-2""",318
"""P30926""",474
"""Q8N9L9""",444
"""O94911-1""",1583
"""Q13444-11""",428
"""Q9NP78""",714
"""P36544-2""",446
"""Q9Y305-4""",221
"""Q15057""",498
"""Q70Z44""",433
"""P28566""",331
"""P34969-2""",287
"""P05067-3""",48
"""Q9UKV3""",1098
"""Q7Z5M8-2""",260
"""Q9NPJ3-2""",88
"""Q07001-2""",435
"""Q9NUQ8""",657
"""Q9NP58""",879
"""Q9UGJ0-2""",175
"""A7E2S9""",273
"""P30154-4""",416
"""Q99758""",1677
"""P53396-3""",506
"""P35348-8""",1
"""Q13444-3""",727
"""Q9NRA8-2""",529
"""O43707-2""",414
"""P02708""",477
"""P31937""",305
"""P63267-2""",156
"""O95264-2""",376
"""P35368""",455
"""P35348-4""",427
"""O95336""",290
"""P11230-2""",347
"""Q13639-8""",319
"""P05408""",184
"""P28330""",393
"""O60516""",97
"""P32297-3""",390
"""O14639-4""",300
"""Q8NAA4-2""",1
"""Q9H2F3-2""",185
"""Q4L235-2""",744
"""P01009-2""",367
"""Q9NP78-5""",577
"""Q9NUB1-3""",403
"""Q6P461""",399
"""Q9BTE6-2""",426
"""Q8TB40-2""",130
"""O94805""",279
"""P02763""",249
"""Q9Y3Q7-3""",173
"""Q9H013-2""",688
"""Q6H8Q1-7""",510
"""Q16537""",220
"""P01011-2""",227
"""Q86UK0""",2280
"""Q7L8J4""",365
"""Q9HC16""",389
"""P32297""",476
"""Q9NR19-2""",533
"""P42025""",379
"""Q53FZ2""",532
"""Q96CM8-3""",431
"""P26439""",342
"""Q4UJ75""",841
"""O15254-2""",648
"""P61163""",200
"""P14060""",453
"""Q2M2I8""",679
"""Q4G176""",747
"""Q8TC94""",505
"""Q12979-2""",420
"""Q4L235-4""",646
"""Q96IU4""",165
"""Q5FVE4-3""",533
"""O43184-4""",2
"""Q13444-8""",671
"""Q13131""",345
"""Q07001""",526
"""P36896-4""",255
"""P30542-2""",71
"""P54619-3""",186
"""Q709F0""",682
"""Q70Z44-3""",209
"""Q9BYD9""",344
"""Q96CM8-2""",451
"""Q8NFV4-2""",111
"""P35348-3""",405
"""P30939""",343
"""Q9P1F3""",70
"""P35348-9""",1
"""Q8IZY2""",2596
"""Q9P0K1-5""",548
"""P52209""",400
"""Q08043""",976
"""Q15067-2""",384
"""P30532""",392
"""P63151""",223
"""Q96AP0""",394
"""P31946""",130
"""P07311-2""",38
"""P68133""",297
"""Q15822""",572
"""Q15825""",467
"""P17174""",294
"""P07108-5""",140
"""O43506""",715
"""Q5T8D3""",437
"""Q04771""",358
"""Q13444-12""",682
"""Q13639-9""",310
"""P46098-2""",506
"""O75027""",378
"""Q9P2A4-2""",342
"""Q8N0Z2""",425
"""Q9Y2T4-4""",208
"""P11229""",293
"""Q6UXT9""",493
"""O43741""",203
"""Q8WWZ4-3""",76
"""P16219""",437
"""P45381""",302
"""P12814-4""",615
"""P00505""",364
