RelationshipType,RelationshipCount
"""HAS_PARENT""",128349
"""MAPS_TO""",2289
"""ASSOCIATED_WITH""",16707629
"""IS_BIOMARKER_OF_DISEASE""",515
"""DETECTED_IN_PATHOLOGY_SAMPLE""",1697248
"""STUDIES_DISEASE""",7
"""IS_QCMARKER_IN_TISSUE""",249
"""STUDIES_TISSUE""",7
"""HAS_MODIFICATION""",21407
"""STUDIES_TRAIT""",9250
"""LOCATED_IN""",295912
"""VARIANT_FOUND_IN_CHROMOSOME""",10630108
"""VARIANT_FOUND_IN_GENE""",10638935
"""TRANSCRIBED_INTO""",258487
"""BELONGS_TO_PROTEIN""",3629058
"""TRANSLATED_INTO""",374294
"""VARIANT_FOUND_IN_PROTEIN""",26807293
"""CURATED_INTERACTS_WITH""",299188
"""COMPILED_INTERACTS_WITH""",1956612
"""ACTS_ON""",988705
"""FOUND_IN_PROTEIN""",204244
"""HAS_QUANTIFIED_PROTEIN""",797651
"""IS_SUBSTRATE_OF""",994
"""CURATED_AFFECTS_INTERACTION_WITH""",10873
"""HAS_SEQUENCE""",20614
"""IS_RESPONSIBLE""",7
"""PARTICIPATES_IN""",7
"""BELONGS_TO_SUBJECT""",170
"""HAS_ENROLLED""",169
"""SPLITTED_INTO""",172
"""HAS_MODIFIED_SITE""",21421
"""HAS_QUANTIFIED_MODIFIED_PROTEIN""",224478
"""IS_SUBUNIT_OF""",10968
"""VARIANT_IS_CLINICALLY_RELEVANT""",169
"""MENTIONED_IN_PUBLICATION""",111109238
"""PUBLISHED_IN""",3939
"""HAS_STRUCTURE""",195640
"""VARIANT_FOUND_IN_GWAS""",16128
"""ANNOTATED_IN_PATHWAY""",1203809
