source,target
81518,1916110
81524,1955139
81524,1746751
81524,1724227
81530,1693247
81544,14890707
81554,1756469
81555,1748643
81555,14914682
81559,1982127
81560,1712957
81560,1879248
81560,1778463
81561,1737709
81562,1763560
81563,14919936
81563,1736489
81564,1980510
81567,1944926
81569,14890029
81581,2003667
81582,1773609
81583,1737874
81583,1789830
81594,1697596
81596,14907064
81596,1702692
81596,1771899
81597,1914002
81609,1959672
81610,1730799
81612,1722666
81617,1769329
81621,14889268
81623,1761131
81624,1988323
81624,1727477
81624,1876075
81624,14960235
81624,1742375
81624,1688643
81627,14934146
81627,1809141
81628,1741811
81629,14892058
81630,1795827
81640,1787116
81648,1737440
81649,1744960
81655,1795489
81660,1934593
81667,1710942
81680,2006300
81689,1764049
81691,1912380
81693,1765499
81694,2025932
81696,2015748
81696,1939385
81696,1704311
81697,14909783
81697,1702963
81698,1745269
81700,1690602
81704,1699833
81705,1740887
81706,1690436
81714,1744391
81717,1704442
81719,1907142
81721,1696314
81721,1714670
81722,14911143
81724,1763793
81735,1711202
81740,14926716
81740,1775047
81741,14897067
81741,1776753
81758,1730046
81759,1716635
81760,1697234
81762,1729741
81762,14896856
81763,1757840
81764,14928956
81764,1729817
81765,1757258
81766,1723391
81767,14891292
81767,1704403
81770,1698113
81771,1762620
81771,1694625
81771,1757283
81775,1738306
81776,1757857
81782,14902741
81782,14897060
81782,1688583
81782,1931444
81782,1931443
81782,14897061
81782,1690209
81782,1931445
81782,1765262
81783,14891485
81791,1697948
81791,2019601
81794,14916337
81794,1909197
81795,1710368
81796,14935092
81798,1776823
81798,14934146
81802,15055574
81802,14903707
81802,14903706
81806,1752776
81810,1869089
81824,1807466
81824,14897075
81826,1722680
81827,1774105
81827,1707982
81827,14958461
81828,1750533
81834,1705808
81835,1871455
81836,1730026
81844,1715704
81844,1809176
81848,1689901
81859,1942694
81879,1907145
81880,1768778
81881,14893046
81882,1758096
81883,1710471
81886,14889369
81888,1717721
81889,1841661
81890,1729533
81891,14889262
81892,1739024
81892,1715854
81893,1744877
81893,1809606
81893,1865676
81893,1989367
81893,1795802
81893,1745237
81893,1809608
81894,1749521
81895,1691691
81896,1869088
81898,14880089
81899,14908490
81900,1916644
81902,1751437
82074,1942017
82076,1814541
82144,1732950
82147,1814536
82150,1990123
82150,1735825
82153,1758931
82154,1946074
82156,1933764
82156,1734421
82156,1814538
82159,2006301
82159,1772186
82160,1762616
82166,1877589
82166,1704247
82166,1914364
82167,1708869
82168,1750997
82176,1799902
82182,1924608
82188,14933475
82188,1741933
82188,14908124
82194,1732101
82195,1745328
82196,1734407
82197,1933911
82198,1737645
82199,1696899
82200,1712907
82201,1933918
82202,1728922
82205,1755376
82207,1919041
82210,1924617
82211,1731242
82212,14956412
82212,1925012
82214,1794688
82226,2025934
82274,2019640
82274,2008099
82280,1692768
82282,1939582
82286,1939138
82289,1728359
82293,14959739
82334,1950625
82411,1937400
82456,1950499
82462,14958960
82487,1937145
82644,1688614
82648,1744395
82652,1690082
82652,1879574
82659,1697302
82664,1734603
82692,1738980
82701,1721830
82717,14903832
82717,14903831
82718,1720670
82722,1912471
82731,1750433
82732,1719238
82733,14906466
82741,1808244
82741,14880327
82744,1980821
82751,1794476
82753,1715658
82795,1719543
82798,2004559
82799,1904578
82800,1705202
82931,14889205
82933,1937161
82934,1937186
82935,1937172
82936,14889201
82956,1937355
82960,14908445
82973,1724352
82975,1942201
82976,1967485
82977,1986977
83036,1749431
83044,1815535
83044,14915061
83045,1815536
83045,14915062
83051,1809157
83053,1694916
83054,2026124
83054,1805924
83064,1738961
83071,1720105
83085,1778350
83088,1702154
83089,1989624
83089,1754716
83093,1748236
83094,1756537
83096,1754497
83097,1912111
83098,14950360
83099,14881886
83129,1771847
83130,1699186
83136,14908575
83136,1724790
83138,14908324
83140,1770781
83142,1707569
83144,14921814
83147,14909122
83151,1937972
83185,1712452
83186,14901893
83186,14901894
83187,1910043
83188,1954895
83189,1995511
83189,1978284
83189,2017646
83190,1723362
83191,1750961
83192,1944614
83195,1713398
83196,1744445
83198,1694022
83201,1744416
83203,1710892
83204,1987743
83205,1978498
83206,1725935
83207,1742496
83208,2017675
83208,1727730
83210,1763640
83243,1768742
83246,1718849
83250,1747366
83253,1698806
83256,1696254
83258,1979449
83259,1695729
83260,14892663
83261,1908880
83263,1711158
83269,14908373
83269,14902696
83272,1786254
83275,1795225
83283,1918640
83283,1776677
83286,1954758
83286,1805422
83286,1809283
83288,1752253
83290,1741426
83291,14893085
83292,1751528
83293,1761346
83294,1720539
83296,1915394
83297,1752867
83298,1734528
83298,1778330
83300,14899544
83301,1745553
83302,1870271
83306,1700463
83307,1701512
83308,1743982
83310,1698729
83311,1745188
83312,1773907
83313,1737922
83315,1714361
83316,1805931
83317,1694533
83318,14894259
83318,14937201
83319,1873297
83319,1912326
83320,1727202
83322,1766100
83323,1768718
83325,1841027
83331,1908879
83331,14920207
83332,1708945
83334,14911928
83336,1875005
83338,1756109
83340,1755632
83343,1759503
83344,1914103
83347,1700182
83349,1760240
83351,2014913
83354,1768070
83356,1945074
83358,14908204
83358,1724822
83358,1736316
83360,1954172
83383,1776718
83385,1733418
83389,1744736
83390,1777880
83467,1727107
83473,1941962
83474,1695516
83476,1745533
83479,2026530
83480,1949349
83508,1703141
83509,1850609
83514,1757973
83516,1933583
83517,1772228
83519,1756201
83521,1914915
83522,1786540
83526,1749876
83535,1744871
83536,14909276
83538,1980466
83539,1746513
83540,1700623
83541,1912492
83543,14923707
83545,1808989
83549,1709847
83550,1875822
83551,1951788
83551,14903848
83552,1933235
83553,1914107
83554,1772552
83555,14890841
83557,1914911
83558,2002135
83558,1945730
83559,1704205
83561,1909984
83562,1870191
83564,1912210
83566,1734557
83567,1692095
83571,1782713
83572,1765021
83573,1740478
83574,1713905
83576,14890796
83576,14891237
83578,1691295
83579,2019131
83583,1916296
83583,1768731
83584,1690984
83585,1914425
83586,14950886
83587,1721603
83588,1949386
83590,1778204
83591,1761358
83592,1909205
83592,1909200
83593,1782427
83594,1917025
83595,1748414
83598,1692895
83600,1952413
83602,1759842
83606,1722545
83607,1690046
83609,1929266
83612,1801226
83614,1795881
83615,1772736
83617,1735016
83618,14909881
83619,1703123
83621,1802592
83622,1689997
83623,1749989
83626,1946735
83638,1763239
83639,2007473
83644,1988509
83645,1773432
83648,1711759
83649,1715925
83651,1748690
83653,1953921
83655,2007989
83656,1931187
83661,14935181
83662,14902688
83663,1719652
83668,1982205
83714,1723606
83715,1720135
83718,1707423
83721,1721774
83749,1743405
83750,1689728
83756,1948752
83758,1705883
83759,1724664
83791,1990717
83792,1776480
83793,14890836
83796,1782752
83797,1740914
83803,1692711
83805,1689298
83812,1980383
83816,1802553
83820,1788427
83828,1762653
83831,1700766
83846,1992171
83847,1802623
83848,1716830
83853,1788722
83855,1703632
83856,1700901
83858,1928829
83859,1751513
