source,target
14820156,14251702
14820157,13694418
14820158,13526536
14820159,13980846
14820160,13675584
14820161,13104761
14820162,13980846
14820169,13054654
14820171,14089913
14820173,13468841
14820174,13888313
14820176,14411804
14820177,13888397
14820179,12909547
14820180,14194765
14820182,13956001
14820189,13893395
14820190,14579449
14820191,14517701
14820192,13513839
14820196,13574729
14820198,14610869
14820199,13396013
14820200,13276924
14820201,14215180
14820203,14544573
14820208,13514416
14820210,13960790
14820213,13055033
14820215,13352948
14820220,13156101
14820222,13653134
14820226,13837924
14820228,13185345
14820229,14300766
14820231,14033114
14820233,14126905
14820234,14035312
14820236,12955863
14820237,13394370
14820238,14560952
14820241,13253823
14820243,13891451
14820245,12877148
14820249,14635681
14820250,13270983
14820252,12972982
14820253,14368917
14820254,13390459
14820255,14610869
14820258,14004288
14820259,13797368
14820260,13460466
14820261,14038729
14820264,13205883
14820265,14107533
14820268,13737284
14820269,13744995
14820271,12849724
14820275,14580542
14820279,14304461
14820280,13624388
14820284,14580637
14820288,14426240
14820293,14542800
14820294,14204004
14820296,14098149
14820299,13081597
14820300,14633147
14820303,14502197
14820305,14567048
14820306,13695116
14820307,13956116
14820311,13423042
14820314,13629323
14820317,14610869
14820319,14259796
14820329,14106733
14820330,13190845
14820331,13878710
14820332,13568407
14820334,13501566
14820338,13760282
14820341,13427875
14820343,13849751
14820344,14029818
14820345,14567048
14820347,14217533
14820348,13929150
14820350,13934639
14820351,13317503
14820360,14366283
14820361,13214164
14820362,13103512
14820364,13542124
14820369,13235475
14820372,14420768
14820373,13825237
14820374,14029449
14820375,13908946
14820379,13226319
14820380,13574729
14820383,13943166
14820384,13724497
14820386,13407326
14820388,13302813
14820389,13149987
14820390,14107533
14820391,14420768
14820392,14105005
14820393,13734826
14820394,14543851
14820396,13930189
14820398,14099797
14820400,14620887
14820401,12871957
14820402,13576295
14820404,13760282
14820405,13747656
14820410,13647582
14820412,14205659
14820414,13058720
14820416,14215180
14820421,14354554
14820424,13668195
14820425,14035312
14820427,13407326
14820429,13424205
14820430,13993130
14820431,13048894
14820435,13433300
14820437,13675584
14820438,13100557
14820439,14215180
14820440,13506585
14820441,13986562
14820442,14157003
14820443,13111198
14820444,14170159
14820447,14101617
14820450,13934639
14820452,13118723
14820453,13821643
14820454,13779300
14820455,12895019
14820456,13120911
14820460,13753382
14820461,14035312
14820462,14066633
14820463,14369613
14820464,13125821
14820466,13033785
14820471,14443468
14820473,13934639
14820475,14348602
14820479,14297252
14820480,14145643
14820481,14594704
14820483,14088454
14820484,13893395
14820488,13616151
14820490,13680148
14820491,13884011
14820494,13934639
14820495,13783185
14820496,13105783
14820498,12866674
14820499,14296510
14820500,13105689
14820504,14474289
14820505,13313194
14820506,13503222
14820507,13534553
14820508,14428729
14820511,13310219
14820512,13670883
14820521,13749582
14820527,13260131
14820530,13530363
14820531,12861718
14820534,13531117
14820535,14420768
14820536,13050693
14820545,14629581
14820546,13963455
14820547,14421500
14820548,14412368
14820550,13032063
14820551,13885782
14820552,13860684
14820554,14022995
14820556,14568039
14820557,13009907
14820558,14544573
14820559,14003789
14820561,13688936
14820562,14491885
14820564,13553628
14820565,13893395
14820567,13430145
14820568,13119915
14820570,14373780
14820573,13495776
14820576,14011572
14820577,13024297
14820581,14537607
14820583,13521284
14820584,13027929
14820586,14215180
14820587,14384997
14820588,13403627
14820589,13571952
14820590,14397892
14820591,13685587
14820592,14058653
14820594,13442098
14820595,13826057
14820596,13000740
14820597,14267669
14820604,14054050
14820605,14259444
14820606,14132662
14820607,14347340
14820608,14471274
14820610,13490516
14820611,14398609
14820612,13118723
14820614,14610869
14820615,13105689
14820616,13623430
14820617,14137069
14820619,13118723
14820620,14206425
14820621,13037346
14820622,13963455
14820625,13050693
14820628,13547077
14820633,13886281
14820634,12969730
14820635,13774078
14820636,14143109
14820640,14215180
14820641,14177375
14820642,13368232
14820649,13848605
14820652,14610869
14820653,12969875
14820654,14360293
14820655,14386059
14820656,14637291
14820657,13408566
14820658,13620792
14820660,13721267
14820664,13460466
14820665,13460466
14820666,13474823
14820668,13719318
14820671,13624388
14820672,13118723
14820673,13116459
14820676,12859599
14820680,14124351
14820682,13101718
14820685,13729761
14820687,13783111
14820690,13284066
14820693,13739578
14820694,13066356
14820695,13508556
14820697,12861398
14820698,13689190
14820706,14145166
14820708,13903321
14820710,13821643
14820711,14412368
14820712,13433300
14820715,13706546
14820716,13423801
14820717,13502432
14820718,14066574
14820721,14560952
14820725,13377050
14820726,13289209
14820728,13938952
14820731,13792576
14820733,13097087
14820734,13615431
14820737,13212711
14820738,14388178
14820739,13944169
14820748,14632435
14820753,13054654
14820755,14256641
14820756,14007744
14820757,13602986
14820764,14589378
14820766,14223746
14820768,13996725
14820769,12962196
14820770,13623430
14820771,14313817
14820772,13882889
14820779,13505979
14820781,14035312
14820782,14355975
14820787,12909547
14820788,14305567
14820795,13309188
14820797,13616428
14820808,14100335
14820809,14531403
14820810,13868900
14820811,13004791
14820814,13004791
14820817,13268215
14820820,14336528
14820823,13934639
14820824,14406769
14820826,14256737
14820829,14386059
14820830,13274554
14820834,13489880
14820835,14157838
14820838,13977359
14820840,14275107
14820847,14523423
14820848,13699006
14820852,14229052
14820855,14422091
14820858,12900457
14820866,13387514
14820873,13946767
14820875,13864569
14820877,12861398
14820878,13412077
14820879,13615526
14820880,13068726
14820881,13934639
14820882,14392292
14820885,14201892
14820888,12918304
14820889,14553045
14820891,13962502
14820897,14487871
14820908,13449405
14820910,13814201
14820913,13805801
14820914,14368823
14820915,13792730
14820919,13746536
14820922,13069694
14820923,12901697
14820926,12961340
14820927,13567042
14820928,12904064
14820934,14513585
14820936,14547489
14820941,14624367
14820942,12850557
14820943,13226479
14820945,14097242
14820948,13582979
14820950,13980846
14820954,14580542
14820955,14176774
14820956,12935600
14820958,13922501
14820959,13466281
14820963,13674831
14820966,13708287
14820967,14275959
14820968,14196888
14820971,14421500
14820977,12861335
14820980,13125586
14820982,12850557
14820986,13407326
14820987,13407326
14820988,14077918
14820993,13934949
14820997,13297169
14820999,13871702
14821000,14484807
14821004,13753614
14821005,13025861
14821006,13381037
14821007,13668426
14821010,14412368
14821011,14278294
14821012,12918983
14821015,13502404
14821018,14107976
14821020,14098246
14821021,14421500
14821022,13901401
14821025,14412368
14821027,13100976
14821028,13559118
14821032,14526468
