source,target
1586032,1666289
740184,1666463
740184,1666464
1387090,1666542
789505,1666653
1260117,1667005
1250952,1667055
1282738,1667071
1646566,1667073
941859,1667166
1602646,1667227
1360117,1667236
807735,1667241
1367476,1667303
923648,1667303
871924,1667319
1457506,1667327
1555018,1667441
1118704,1667453
928413,1667531
807970,1667559
1398810,1667576
1184295,1667895
1512927,1667938
1637336,1667971
1561693,1668061
778129,1668199
1592507,1668228
1167131,1668232
1479383,1668391
1433016,1668452
1422542,1668523
844236,1668547
892995,1668550
1542129,1668588
867915,1668626
1473106,1668643
1562288,1668685
769645,1668702
769645,1668703
769645,1668704
1140963,1668723
1305930,1668728
787894,1668738
861974,1668767
1504600,1668771
1261900,1668779
1189351,1668895
1484566,1668903
1521676,1668915
805303,1668962
1607534,1668976
1529033,1669004
1255447,1669066
830374,1669199
1267151,1669204
980700,1669259
1501049,1669265
1469887,1669359
1469887,1669360
1557310,1669363
1575133,1669653
1665148,1669665
1519802,1669724
1247161,1669766
1492125,1669821
1538318,1669869
1403862,1669876
1129760,1669898
1466439,1669933
995837,1669936
1362401,1670037
1402292,1670050
1605222,1670087
1507894,1670115
1186284,1670127
1332422,1670174
1034849,1670178
1551354,1670229
1391232,1670364
1232916,1670381
1268625,1670382
1187866,1670443
1204227,1670486
1204227,1670487
1040912,1670517
1589533,1670547
1279800,1670571
1091829,1670680
1377778,1670681
793024,1670798
1258757,1670801
837314,1670879
1137415,1671026
1064824,1671168
1190243,1671309
1653198,1671311
1562225,1671455
1599532,1671461
826315,1671580
1057728,1671608
1353159,1671611
1495476,1671650
1057114,1671675
1038241,1671795
1399348,1671813
1130584,1671899
687667,1672002
1573092,1672131
1019215,1672246
904699,1672289
982121,1672317
732801,1672320
1397678,1672333
1118321,1672417
1064614,1672426
1051823,1672506
1320850,1672571
1017871,1672592
1573544,1672601
1073743,1672635
987087,1672768
1151951,1672811
1553859,1672899
760493,1672949
899462,1672989
996542,1672990
937442,1673075
1015130,1673097
1553711,1673158
1039689,1673169
1101399,1673183
886370,1673256
1553976,1673264
973260,1673271
789054,1673278
1522237,1673320
988679,1673373
1455895,1673400
748032,1673487
1262415,1673505
1608491,1673525
1465879,1673647
1178046,1673663
1544431,1673686
1213720,1673769
833342,1673851
1205154,1673923
1238403,1673934
1567150,1674071
716227,1674084
1305674,1674186
706870,1674191
1058214,1674205
760390,1674222
1522773,1674258
1311304,1674273
840453,1674274
1652088,1674283
1647235,1674364
908515,1674382
1471722,1674402
1093100,1674462
1375186,1674581
1296652,1674590
779098,1674630
1199936,1674774
1243246,1674973
1364332,1675301
803764,1675302
1087971,1675361
1225480,1675371
1626817,1675407
1427132,1675433
1609635,1675460
1355460,1675503
1467633,1675517
946196,1675543
1226605,1675608
1191176,1675650
772205,1675677
1040870,1675865
1647113,1675881
1360364,1676075
755154,1676103
1233092,1676116
715754,1676172
931689,1676183
1057461,1676199
677340,1676259
796114,1676341
1040502,1676348
691272,1676530
767177,1676616
1288009,1676728
1371889,1676775
1225217,1676842
1217229,1677085
1087045,1677097
982562,1677236
845435,1677314
1015574,1677441
1174860,1677466
1412145,1677473
1340335,1677557
727860,1677564
736472,1677620
1021601,1677775
1658046,1677804
1253807,1677968
996894,1678009
1482637,1678019
1479748,1678040
801883,1678058
1100481,1678292
1091575,1678434
1024661,1678694
1620994,1678703
1381271,1678750
1279029,1678845
1206815,1678856
1532983,1678877
1359593,1678878
1072402,1678893
813819,1678897
791976,1679038
1062106,1679081
1174974,1679174
1593524,1679236
993433,1679331
1242993,1679377
1443572,1679412
1150252,1679428
1013311,1679443
1514897,1679579
1616089,1679632
1499904,1679722
1418644,1680064
1454482,1680114
950125,1680144
984094,1680159
907500,1680171
1419241,1680196
1192982,1680228
1052753,1680249
1630404,1680341
740929,1680373
890362,1680377
732714,1680572
1240882,1680630
1590761,1680682
801540,1680729
991609,1680803
1368939,1680882
1638612,1680918
1469511,1680931
873228,1680955
1391195,1681045
1109859,1681210
1035778,1681257
1646437,1681310
856756,1681372
1165639,1681378
1486209,1681380
1356199,1681519
945070,1681566
1459472,1681578
859565,1681611
1364600,1681612
1486276,1681619
969699,1681640
904088,1681777
1480338,1681837
853305,1681846
1248008,1681925
1193183,1681955
1441093,1682035
1380742,1682166
1516934,1682167
869801,1682210
1329914,1682291
1496358,1682406
695440,1682657
1270141,1682680
816916,1682712
1295490,1682915
1181860,1682964
1013449,1683104
1540151,1683114
819305,1683124
734635,1683288
1327599,1683314
1047866,1683324
1364416,1683343
785523,1683370
682160,1683453
1103512,1683540
1005267,1683561
949150,1683568
1084241,1683611
1235955,1683645
1240399,1683945
1213745,1683950
1459444,1683952
1423082,1683958
1209661,1683963
750386,1684036
931355,1684077
1324576,1684181
1488074,1684226
928981,1684243
1191921,1684300
798814,1684317
925516,1684338
671883,1684348
1061014,1684466
1547556,1684525
980220,1684551
995353,1684594
1580237,1684631
799255,1684642
711890,1684717
1271869,1684772
1434488,1684803
1453923,1684847
1158185,1684860
845253,1684913
853863,1684979
1071603,1684988
1417194,1685083
1485439,1685149
1237055,1685384
977187,1685481
929141,1685555
1650120,1685577
1113873,1685578
945489,1685618
1615839,1685659
1214729,1685713
1024145,1685803
1647344,1685908
936725,1685943
1619480,1685996
737277,1686010
962702,1686032
811646,1686181
1515531,1686197
1109324,1686246
1187363,1686332
1185617,1686393
956601,1686410
1406453,1686475
1565061,1686530
728467,1686730
1198614,1686749
1133375,1686781
763936,1686785
1364704,1686811
1001186,1686884
1129730,1686889
1542133,1687017
1455050,2009670
1041837,2009672
1041837,2009696
1041837,2009797
1655459,2009918
1483731,2009936
1576170,2009951
1017663,2010014
1017663,2010081
1433075,2010145
1495498,2010240
670122,15064929
1554241,15065113
1091108,15065338
830430,15065645
682995,15065822
1307505,15066055
841482,15066312
1352948,15066426
912192,15066594
1655008,15066666
1039275,15066675
817866,15067048
1475268,15067303
1537440,15067446
895613,15067533
1237677,15067617
666173,15067627
1111679,15067642
1191714,15067694
1127561,15067748
1581147,15067831
1332167,15067975
782709,15068150
1634523,15068171
1202748,15068482
1203355,15068518
993425,15068525
1298389,15068972
1534178,15068976
1243749,15069091
1152549,15069227
1196936,15069399
1546730,15069845
944370,15069850
1588443,15069855
851377,15069924
990468,15070012
956358,15070257
1129095,15070534
1243460,15070570
954388,15070598
1576224,15070737
1190696,15070797
879620,15070830
1183068,15070891
956066,15070969
1373668,15071026
1263430,15071289
903834,15071417
692173,15071446
1160120,15071463
1164164,15071668
1555477,15071717
1368647,15071720
1455929,15071745
758894,15071834
1562090,15072060
1424199,15072234
1331670,15072374
1076995,15072526
985437,15072561
1012031,15072578
1171316,15072976
1367179,15072982
1614028,15073064
1312190,15073076
1208508,15073125
759482,15073167
1663411,15073317
747990,15073388
948128,15073603
882155,15073686
1624936,15073702
965073,15073912
1082794,15074259
1337025,15074480
1017406,15074554
952931,15074659
1568072,15074900
1173269,15075069
912504,15075114
1145408,15075151
1025774,15075245
1283183,15075345
1487575,15075351
1274236,15075386
901189,15075443
1264941,15075470
1179840,15075639
1078899,15075819
911567,15075929
1041362,15076008
704635,15076015
970803,15076032
1145280,15076039
1133181,15076092
1652563,15076140
733354,15076162
1555265,15076261
794831,15076448
1312840,15076459
1274672,15076676
1629594,15076931
950917,15076961
1191316,15077037
1460600,15077054
965865,15077211
892826,15077237
1112725,15077261
1510791,15077572
1256602,15077573
1346860,15077575
740012,15077587
807429,15077691
1402684,15077703
1116028,15078055
1122189,15078661
779537,15078719
1289435,15078782
892826,15078879
995761,15079012
1637956,15079064
1256343,15079101
1107224,15079229
793414,15079251
1404860,15079267
725612,15079368
1513217,15079411
1302996,15079490
855723,15079820
1622696,15079877
1029668,15079915
818035,15079943
1039275,15079963
833801,15080046
1463394,15080177
795408,15080249
1205424,15080251
1260022,15080319
1330448,15080376
789254,15080485
818431,15080574
1302816,15080608
1309756,15080651
764712,15080696
1434192,15080823
1611310,15080849
950181,15080853
1486652,15080975
1149621,15081031
1510755,15081100
1219273,15081170
1104821,15081265
917240,15081406
1614621,15081413
1104383,15081489
705017,15081558
1506554,15081688
1276862,15081724
1609194,15081725
1390345,15081735
711103,15081736
943585,15081803
1239439,15081827
1079392,15082162
1413944,15082191
1265426,15082307
714655,15082334
1175066,15082405
1109343,15082513
691126,15082655
1523682,15082801
1439751,15082912
1429105,15083005
770969,15083047
691017,15083284
1172774,15083411
720629,15083449
1237073,15083580
1084668,15083684
1187696,15083757
945039,15083832
1185077,15083897
1261691,15084037
1596485,15084082
1303434,15084189
1368137,15084285
795408,15084352
1147687,15084870
1335309,15085105
1576713,15085228
1150520,15085312
1111679,15085428
1134108,15085523
1316980,15085723
1269644,15085844
788750,15085855
834778,15086290
1539820,15086362
1110941,15086386
909395,15086425
996322,15086477
1391507,15086517
846917,15086523
1354239,15086525
1136975,15086595
806971,15086704
1150616,15086725
808254,15086727
1427090,15086820
713944,15086869
1169139,15086990
1559577,15087104
1398256,15087180
796322,15087255
860689,15087269
1207376,15087340
1404502,15087377
832701,15087614
1303483,15087616
1189351,15087802
1338212,15088169
1496005,15088342
1469661,15088497
1034322,15088506
954939,15088698
877659,15088734
1037233,15088864
1235149,15088866
1042362,15089352
1135639,15089364
1100308,15089439
716281,15089555
1058751,15089671
1655168,15089736
969520,15089978
1546637,15089993
1413113,15090057
1324257,15090132
1247707,15090163
1302797,15090192
1457584,15090482
1566586,15090484
819369,15090488
1373922,15090572
928203,15090705
1500703,15090765
781593,15090843
1192577,15090849
1340218,15090884
1169457,15090944
768537,15091010
1184113,15091051
944936,15091182
1462892,15091221
1628593,15091258
1034223,15091651
1230690,15091784
1611236,15091822
1113364,15091930
950379,15092198
1429291,15092270
1171164,15092322
1396561,15092534
1165859,15092559
922273,15092597
1274323,15092648
722411,15092692
700190,15093215
1047075,15093377
1022511,15093538
986902,15093544
1396357,15093555
1062832,15093589
1021919,15093590
1329197,15093592
1532618,15093730
915786,15093794
1554909,15093867
1441395,15093883
1274938,15093999
1117505,15094069
877659,15094100
1008103,15094310
953117,15094462
1262402,15094493
846188,15094587
1533704,15094590
1584130,15094690
1313471,15094740
1087415,15094793
1113397,15094932
1609323,15095054
691548,15095177
1070092,15095179
1165470,15095261
1392678,15095416
1508798,15095549
1437177,15095551
748073,15095576
1001186,15095662
1280894,15095710
1625947,15095797
1349875,15095905
1047041,15096234
1542330,15096323
898546,15096327
673041,15096413
1428104,15096429
1104150,15096489
708928,15096493
1043941,15096675
1089006,15096759
683228,15096810
1239922,15096940
855205,15096990
890346,15097061
732327,15097109
1117956,15097245
913619,15097354
1538370,15097540
1076857,15097764
1424062,15097780
778861,15097830
1402684,15097942
1397030,15097945
939934,15098151
778249,15098302
868378,15098531
666888,15098619
1107755,15098742
1467012,15098817
1652341,15098840
677133,15098918
1060759,15098991
