source,target
446370,16689
416209,16689
416642,16689
454553,16689
441668,16689
442456,16689
440136,16689
464071,16689
454954,16689
448994,16689
441372,16689
433259,16690
439433,16690
433571,16690
442612,16690
418130,16692
466041,16692
463210,16692
417839,16692
429987,16692
429494,16692
427817,16692
456862,16692
463210,16692
463210,16692
462413,16692
498781,16692
458179,16692
418130,16692
455320,16693
455826,16693
455826,16693
455826,16693
461436,16694
461377,16694
436321,16694
457343,16694
436914,16694
436860,16694
442571,16695
451253,16695
437559,16696
450945,16696
440268,16697
432845,16697
441992,16697
454050,16700
453552,16700
419997,16700
445017,16700
453615,16700
453670,16700
453202,16700
453322,16700
441492,16700
455114,16700
454122,16700
442337,16700
453777,16700
453934,16700
445166,16700
453521,16700
445166,16700
453402,16700
419912,16700
454400,16700
462345,16700
458791,16700
453615,16700
444582,16700
453189,16700
453682,16700
454343,16701
454802,16701
454607,16701
429274,16701
454191,16701
454191,16701
454792,16701
454648,16701
454403,16701
455007,16701
454212,16701
454599,16701
454947,16701
429274,16701
454533,16701
499975,16701
454212,16701
454191,16701
451741,16701
443093,16702
455150,16703
460302,16703
425060,16703
415224,16703
415456,16703
427213,16703
415753,16703
416071,16703
454858,16703
415753,16703
448240,16703
424256,16703
415517,16703
454858,16703
415447,16703
448240,16703
415741,16703
415791,16703
415529,16703
451260,16705
443115,16705
442529,16705
419660,16705
454816,16705
451299,16705
464821,16705
437119,16705
453100,16705
464983,16705
449260,16705
432482,16705
418351,16705
419826,16705
418720,16705
459742,16705
451542,16705
428928,16705
432691,16705
429902,16705
419500,16705
459942,16705
465021,16705
451883,16705
418973,16705
442367,16705
464672,16705
452937,16705
458606,16705
459333,16705
461877,16705
419500,16705
451867,16705
416154,16705
465804,16705
451483,16705
464459,16705
465114,16705
418359,16705
464983,16705
432870,16705
453100,16705
420170,16705
416750,16705
419826,16705
419046,16705
429902,16705
418351,16705
465021,16705
464957,16705
428928,16705
418413,16705
458606,16705
442367,16705
447508,16705
460105,16705
451565,16705
418808,16705
465429,16705
432331,16705
465535,16705
451495,16705
451565,16705
418379,16705
442367,16705
418279,16705
418730,16705
418720,16705
459333,16705
418379,16705
415943,16705
416154,16705
451495,16705
465804,16705
466003,16705
418576,16705
465753,16705
419046,16705
415943,16705
454816,16705
445307,16705
464957,16705
442471,16705
418359,16705
446250,16706
418655,16706
417959,16706
444391,16706
417274,16706
417274,16706
417959,16706
443592,16706
418655,16706
418655,16706
426023,16706
446205,16706
446250,16706
426023,16706
422899,16706
417981,16706
446250,16706
446861,16706
418655,16706
417981,16706
426693,16707
426524,16707
426693,16707
418655,16707
426524,16707
418655,16708
418655,16708
466029,16709
451866,16709
415531,16709
439379,16709
512349,16709
435988,16709
454400,16710
444375,16710
466029,16710
445935,16710
466029,16710
444375,16710
451866,16710
455747,16710
446099,16710
466029,16711
466029,16711
451866,16711
446099,16711
445935,16711
440301,16711
444389,16711
454648,16711
457607,16712
428795,16712
419578,16712
467850,16712
449842,16712
458061,16712
438755,16712
437848,16712
467170,16712
436902,16712
429679,16712
445503,16712
451866,16712
468140,16712
424813,16712
422961,16712
456952,16712
461103,16712
456830,16712
438353,16712
468140,16712
460788,16712
444807,16712
457227,16712
445411,16712
444156,16712
436211,16712
437465,16712
465315,16712
457607,16712
420356,16712
442072,16712
437294,16712
457807,16712
461516,16715
427894,16715
424895,16715
461964,16715
451415,16715
422766,16715
423132,16715
452112,16715
422834,16715
451360,16715
423132,16715
461964,16715
427929,16716
418855,16716
427951,16716
434425,16716
450938,16716
443862,16716
462045,16716
451872,16716
428596,16716
430443,16716
435452,16716
430667,16716
451925,16716
423854,16716
424895,16716
428287,16716
419129,16716
419115,16716
453681,16716
464685,16716
440186,16716
424146,16716
422444,16716
451360,16716
437093,16716
464685,16716
452112,16716
424146,16716
453681,16716
422871,16716
441612,16716
462919,16716
452631,16716
451925,16716
429494,16716
434063,16716
419129,16716
418855,16716
424241,16716
444462,16717
421668,16717
423035,16717
422967,16717
422834,16717
421426,16717
460183,16717
440934,16717
421861,16717
421806,16717
416143,16717
421374,16717
421644,16717
423820,16717
422110,16717
421883,16717
427439,16717
422635,16717
423151,16717
419392,16717
415963,16717
421535,16717
422613,16717
421841,16717
422104,16717
432809,16717
424366,16717
421587,16717
421929,16717
421653,16717
421820,16717
421617,16717
422378,16717
421792,16717
449784,16717
421666,16717
422435,16717
423820,16717
442268,16717
421616,16717
421541,16717
435104,16717
422017,16717
442742,16717
419432,16717
422931,16717
458338,16717
421600,16717
422335,16717
421790,16717
421852,16717
421643,16717
421205,16717
422446,16717
422055,16717
459362,16718
459243,16718
425700,16719
459337,16719
449617,16719
422544,16719
422613,16719
464677,16719
435615,16719
439100,16719
458602,16719
437978,16719
422435,16719
449755,16719
464211,16719
422017,16719
