source,target
417094,45332
449847,45332
427291,45333
427906,45333
426932,45334
425877,45334
465347,45334
429652,45334
425877,45334
446130,45334
429986,45334
442571,45334
456535,45334
451253,45334
442571,45334
439403,45335
416703,45336
449963,45336
448459,45336
449963,45336
448459,45337
449963,45337
416703,45337
461786,45337
417115,45337
427147,45337
448686,45337
426812,45337
426522,45337
416634,45337
448459,45337
416766,45337
449963,45337
449847,45337
449963,45337
462150,45337
426533,45337
461743,45337
449847,45337
462187,45337
449887,45337
417094,45337
449847,45337
450029,45337
416895,45339
416895,45339
417058,45339
416781,45339
433605,45341
415910,45341
415910,45342
415910,45342
432349,45343
432814,45343
432877,45343
432814,45343
432484,45343
432447,45343
432877,45343
460080,45344
428954,45344
443907,45344
463467,45344
428636,45344
461785,45344
462695,45344
453975,45344
451769,45344
457875,45344
454591,45344
428423,45344
459260,45344
428978,45344
459260,45344
428241,45344
423633,45344
428950,45344
463463,45344
435878,45344
442632,45344
462444,45344
462619,45344
463871,45344
416680,45344
459186,45344
457902,45344
428972,45344
428972,45344
459759,45344
457472,45344
461272,45344
443060,45344
458019,45344
438941,45344
456407,45344
459659,45344
463143,45344
426653,45344
451564,45344
459874,45344
465844,45344
459626,45344
460088,45344
428596,45344
465870,45344
466468,45344
416246,45344
461926,45344
511896,45344
465844,45344
459622,45344
446097,45344
426166,45344
461926,45344
444307,45344
460303,45344
463118,45344
436121,45344
459652,45344
462809,45344
460155,45344
435491,45344
455070,45344
416198,45344
461785,45344
460995,45344
459622,45344
459982,45344
416680,45344
434810,45344
459820,45344
459895,45344
459307,45344
457472,45344
451564,45344
459641,45344
425905,45344
445978,45344
445446,45344
459757,45344
458019,45344
463467,45344
428878,45344
460088,45344
458106,45345
415279,45345
415448,45345
442688,45345
428547,45345
458106,45345
457524,45345
415424,45345
415981,45345
457524,45345
428990,45345
432839,45345
432573,45345
419685,45345
434906,45345
415219,45345
415642,45345
455534,45345
415381,45345
426077,45346
426077,45346
446205,45346
458085,45346
446861,45346
425528,45346
455949,45347
455949,45347
455949,45347
455608,45351
448236,45353
443221,45355
443951,45355
443918,45355
443898,45355
444080,45355
443898,45355
443308,45355
443371,45355
443429,45355
443418,45355
443664,45355
443308,45355
443325,45355
443207,45355
443681,45355
443769,45355
443483,45355
443325,45355
443538,45355
443898,45355
443925,45355
443276,45355
443716,45355
443221,45355
443424,45355
443904,45355
443418,45355
443904,45355
443418,45355
443210,45355
443795,45355
444152,45355
443564,45355
444080,45355
443404,45355
444152,45355
443951,45355
443644,45355
443565,45355
443974,45355
443795,45355
443221,45355
443953,45355
459341,45356
459693,45356
425553,45356
455756,45356
425890,45356
459701,45356
455721,45356
430093,45356
459219,45356
459192,45356
459970,45356
459724,45356
448676,45356
460105,45356
439428,45356
459929,45356
439428,45356
459466,45356
464332,45356
459886,45356
432870,45356
459957,45356
417874,45356
459733,45356
443573,45356
459536,45356
459204,45356
459272,45356
455756,45356
