source,target
14298,0
53990,0
16481,0
269314,0
113028,0
225452,0
76084,0
34945,0
226192,0
125126,0
64804,0
29519,0
133842,0
59885,0
151186,0
276965,0
204993,0
192021,0
115904,0
77152,0
174039,0
255805,0
105183,0
276856,0
128025,0
52432,0
83017,0
173813,0
120948,0
13724,0
231487,0
139155,0
58417,0
99405,0
71163,0
77425,0
35485,0
258171,0
221513,0
27877,0
53756,0
11177,0
36947,0
116338,0
172392,0
64540,0
158676,0
52838,0
230455,0
147568,0
135225,0
201874,0
267709,0
236455,0
253711,0
102873,0
215859,0
29033,0
190674,0
264302,0
123459,0
57476,0
84155,0
88530,0
190864,0
102725,0
265581,0
40547,0
9648,0
22643,0
259230,0
154942,0
83975,0
100109,0
206155,0
142315,0
210588,0
109281,0
214002,0
165118,0
270250,0
26425,0
52631,0
276442,0
100191,0
193808,0
110506,0
5171,0
58186,0
229755,0
45560,0
16312,0
59892,0
16637,0
140052,0
87437,0
158336,0
189572,0
93825,0
205544,0
200706,0
50810,0
218080,0
4573,0
14822,0
71265,0
201966,0
38310,0
125073,0
166231,0
199142,0
55757,0
129238,0
102043,0
11758,0
246301,0
113787,0
210296,0
33000,0
211573,0
255558,0
234133,0
109410,0
85590,0
96885,0
37243,0
278811,0
106753,0
81623,0
124988,0
67298,0
234057,0
58810,0
175836,0
133031,0
258948,0
16231,0
139092,0
146399,0
11175,0
245379,0
195410,0
94625,0
201695,0
175339,0
54478,0
242340,0
35223,0
180769,0
1611,0
71278,0
226465,0
189270,0
62850,0
238086,0
91432,0
214546,0
147814,0
43970,0
62502,0
89346,0
144929,0
53119,0
59402,0
55807,0
166690,0
215393,0
127557,0
202603,0
240757,0
255211,0
146338,0
156118,0
133578,0
50599,0
103591,0
195315,0
255931,0
112868,0
204215,0
8462,0
126919,0
116281,0
233104,0
262740,0
11232,0
48040,0
22571,0
244285,0
191218,0
10640,0
210543,0
45014,0
54293,0
155128,0
104377,0
145618,0
85874,0
139994,0
257018,0
40543,0
41158,0
91721,0
14247,0
81037,0
205419,0
77773,0
203661,0
121628,0
184455,0
164178,0
72973,0
177323,0
119142,0
177695,0
93256,0
151638,0
87135,0
12751,0
33129,0
3754,0
14709,0
179736,0
161179,0
131043,0
183693,0
262813,0
102473,0
95340,0
181575,0
277760,0
240778,0
175964,0
138162,0
183919,0
53051,0
20034,0
180166,0
248940,0
202447,0
130895,0
209709,0
78532,0
41051,0
12642,0
125964,0
268427,0
129037,0
251556,0
76513,0
216586,0
145083,0
267147,0
179723,0
98674,0
206220,0
248096,0
97320,0
58683,0
189932,0
54943,0
125581,0
93840,0
29232,0
240413,0
24559,0
205064,0
15667,0
243373,0
243662,0
81092,0
200550,0
125424,0
266561,0
200966,0
65185,0
23995,0
144524,0
60666,0
58106,0
98396,0
21577,0
213162,0
155323,0
239477,0
94412,0
129472,0
111973,0
223852,0
133638,0
93263,0
229431,0
81277,0
39141,0
259715,0
267306,0
149095,0
240303,0
203025,0
103371,0
33567,0
135465,0
217676,0
18224,0
280223,0
242921,0
109352,0
190153,0
226977,0
18262,0
173313,0
151124,0
129547,0
47258,0
92490,0
245570,0
269537,0
51008,0
40561,0
147697,0
28767,0
202793,0
2178,0
212480,0
208470,0
259776,0
160485,0
88281,0
72559,0
239430,0
25197,0
66295,0
94680,0
148402,0
22560,0
24278,0
89312,0
73877,0
21221,0
280408,0
158601,0
225872,0
101016,0
226579,0
272282,0
267165,0
200646,0
146194,0
38539,0
31060,0
244939,0
191660,0
64923,0
80346,0
258033,0
78549,0
194500,0
223887,0
50666,0
12027,0
44829,0
76398,0
147011,0
133509,0
227059,0
252749,0
14731,0
163277,0
255520,0
219239,0
552,0
214400,0
170164,0
150677,0
278206,0
263487,0
30526,0
157470,0
31754,0
86355,0
258161,0
56017,0
255753,0
62175,0
245214,0
113440,0
237260,0
20142,0
262979,0
71672,0
223782,0
137855,0
210110,0
265619,0
162487,0
124169,0
12069,0
164313,0
15749,0
231577,0
239635,0
19415,0
27681,0
227778,0
207536,0
177583,0
18055,0
172733,0
191600,0
151289,0
104463,0
90582,0
201991,0
200097,0
216203,0
233090,0
68442,0
162523,0
42349,0
47376,0
267757,0
151548,0
49320,0
144342,0
51426,0
198120,0
240607,0
9258,0
114699,0
107829,0
14769,0
160311,0
29077,0
165152,0
234591,0
176095,0
267691,0
121112,0
143793,0
90561,0
167700,0
178140,0
253369,0
50822,0
170784,0
85179,0
112731,0
179845,0
124419,0
127025,0
36319,0
79677,0
8588,0
154179,0
276414,0
108504,0
234477,0
18870,0
14324,0
74348,0
16000,0
43079,0
280606,0
200558,0
45208,0
251771,0
38280,0
11753,0
183916,0
9602,0
83032,0
68448,0
223053,0
256290,0
162445,0
214222,0
180852,0
19280,0
186704,0
176846,0
22787,0
1253,0
7804,0
64282,0
51905,0
124652,0
230580,0
83477,0
131709,0
33176,0
31122,0
105740,0
41492,0
112291,0
31912,0
