source,target
4,49705
5,18383
8,8422
8,8645
8,8792
8,8952
8,8197
17,1656
17,1189
17,1717
30,56613
30,36517
30,36818
30,36591
30,36634
30,36829
30,36899
30,36708
30,36085
30,36894
30,36312
30,36426
30,36872
30,36788
30,36873
30,36396
30,36781
47,119372
54,107166
54,95351
54,2041
54,2422
54,2012
54,2467
56,51574
56,51751
56,51953
62,124576
62,21278
62,21930
62,21341
80,62037
80,34151
80,34711
80,34985
87,75089
87,22343
87,22297
87,22478
87,22483
87,22702
88,46342
88,46557
88,46754
92,21567
107,22470
107,22854
107,22337
107,22171
107,22479
107,22042
107,22399
118,8449
118,7994
118,8418
118,8531
118,8911
118,8892
118,8472
118,8408
118,8607
118,8306
118,8581
118,8316
118,8012
118,8662
118,8384
118,8606
124,99445
124,65884
124,22526
124,22263
124,22865
124,22576
124,22743
129,52126
131,44131
131,44243
131,44969
133,127423
133,6951
133,6084
133,6380
139,50061
139,50638
139,50546
141,25493
141,25370
141,25196
144,45674
144,45375
144,45773
144,45865
144,45770
146,7048
146,7334
146,7936
146,7608
151,31729
151,31150
151,31997
151,31014
151,31093
151,31688
151,31225
159,56557
159,16444
159,16817
159,16183
159,16741
159,16604
172,14799
172,14040
172,14247
172,14416
181,38648
206,24472
206,24428
206,24808
209,54427
216,86454
216,4220
217,57179
217,35842
222,34218
222,34741
222,34996
228,98545
234,67631
243,64152
243,19466
243,19630
243,19508
244,68017
244,42248
256,3402
257,10577
258,61216
258,8418
258,8408
258,8012
258,8581
258,8911
258,8449
258,8384
258,8892
258,7994
258,8607
258,8472
258,8306
258,8316
258,8606
258,8662
258,8531
265,75936
269,45921
269,45566
269,45236
273,4118
273,4494
273,4728
274,1707
274,1166
274,1538
274,1332
276,23440
276,23106
276,23651
288,61466
299,9331
299,9031
299,9349
299,9202
304,15128
305,6754
305,6455
305,6210
312,17901
312,17419
312,17059
314,144269
314,81192
314,135
314,895
314,161
314,426
314,277
315,34025
317,22019
329,143935
329,31350
329,31380
329,31726
329,31432
329,31433
332,19422
332,19970
332,19343
332,19421
343,67084
343,51836
343,51948
343,51643
343,51058
345,53887
345,19089
355,7317
358,12067
358,12247
358,12754
358,12339
358,12225
358,12041
358,12563
358,12081
364,138833
364,25889
365,115730
365,62200
366,51215
366,51110
366,51879
369,19513
369,19115
369,19031
381,114251
384,131435
384,25965
386,112239
387,56186
388,64384
388,58613
390,131561
390,19375
390,19459
390,19119
398,89087
402,42223
402,42145
402,42143
407,13762
407,13918
407,13933
410,33006
410,33438
410,33083
413,45562
418,13977
418,13232
418,12996
424,106486
424,65381
431,2456
431,2359
431,2951
431,2576
433,42357
433,42503
433,42375
433,42616
433,42380
433,42630
433,42348
433,42253
435,24827
435,24264
435,24155
441,41471
441,41280
441,41694
444,43956
444,43459
444,43023
447,63295
447,51029
447,51695
447,51696
447,51703
454,22020
454,22881
454,22454
454,22637
456,40878
456,40091
456,40038
456,40349
456,40031
456,40130
456,40328
456,40634
456,40148
464,51143
464,51970
464,51119
464,51784
464,51102
469,5976
469,5256
469,5067
469,5670
469,5187
469,5158
469,5422
469,5643
469,5124
469,5197
469,5270
469,5097
469,5205
469,5386
469,5762
469,5510
469,5454
469,5497
469,5766
469,5178
469,5872
469,5209
469,5054
469,5149
469,5224
469,5568
469,5881
469,5406
469,5560
469,5075
469,5112
469,5135
469,5114
469,5274
469,5538
469,5289
470,136678
470,33307
470,33761
470,33600
470,33778
470,33810
470,33491
473,36138
473,36751
473,36834
473,36363
481,69574
481,48538
481,48887
481,48452
481,48610
481,48228
489,33365
489,33332
489,33084
490,49668
490,49766
490,49509
490,49098
503,66516
503,19236
503,19863
503,19366
505,18203
515,186
515,808
515,178
517,6704
517,6228
517,6095
517,6454
525,27831
525,27009
525,27631
538,34779
541,15570
541,15200
541,15770
541,15809
548,56337
548,32667
548,32321
548,32256
548,32444
555,100205
555,33991
555,33853
555,33354
567,8106
567,8511
567,8186
567,8961
574,35203
574,35242
574,35912
574,35749
581,116216
582,32852
592,65718
592,45916
593,52395
593,52530
593,52176
593,52149
593,52782
593,56539
593,52492
593,52319
593,52527
593,52765
595,34458
595,34869
595,34771
595,34633
595,34757
603,16506
606,45916
609,14310
611,32369
611,32412
611,32193
615,29308
615,29513
615,29708
617,26727
617,26524
617,26059
617,26496
617,26078
617,26161
620,22028
620,22629
620,22845
623,5614
623,5123
623,5161
623,5065
623,5016
623,5602
623,5371
626,3596
626,3134
626,3837
626,3815
626,3761
626,3758
631,4539
631,4984
631,4968
631,4557
631,4529
634,56435
634,42509
634,42289
634,42650
634,42401
634,42066
634,42571
646,132258
647,55846
647,47013
647,47022
647,47376
647,47133
647,47142
647,47720
647,47823
647,47391
647,47911
647,47828
647,47279
651,26659
654,10888
654,10107
654,10628
654,10188
655,21482
656,25285
656,25053
656,25152
656,25445
659,116962
661,52028
661,52976
661,60371
661,52908
665,21313
665,21111
665,21065
665,21219
666,55705
666,37448
666,37011
666,37577
667,13975
671,138271
671,11841
671,11482
671,11135
671,11895
677,27540
690,35444
690,35033
690,35222
691,96429
691,23085
691,23645
691,23362
691,23789
691,23142
693,6457
693,6729
693,6709
696,146293
705,27936
707,62248
707,14809
713,51406
713,51638
713,51636
716,42443
716,42885
716,42192
716,42611
723,12772
723,12627
723,12447
734,41147
734,41466
734,41161
734,41578
742,52003
742,52382
742,52457
742,52279
744,138635
744,46165
744,46601
744,46177
752,38421
753,119873
753,15447
753,15572
753,15183
753,15236
755,38129
755,38729
755,38063
759,39127
759,39358
759,39538
759,39586
759,39171
759,39603
762,10116
762,10458
762,10162
762,10086
762,10700
762,10315
762,10120
762,10150
762,10893
762,10637
762,10649
762,10399
764,50008
764,50609
764,50432
766,37792
775,26537
775,26817
775,26882
779,22371
779,22823
779,22037
779,22276
779,22348
782,24603
782,24595
782,24604
784,13941
785,22369
794,165
797,39490
797,39777
797,39393
797,39250
797,39757
797,39505
797,39810
797,39399
797,39821
797,39244
797,39661
797,39177
800,97422
800,37076
800,37420
800,37359
800,37149
800,37974
800,37825
800,37042
818,4879
818,4855
818,4194
820,39795
820,39319
820,39462
823,35560
823,35492
823,35036
823,35185
827,38296
835,52593
835,52536
835,52143
851,17585
860,21735
860,21734
860,21622
862,20109
862,20091
862,20796
862,20644
867,14558
884,20102
884,20829
884,20080
890,80076
890,36176
893,1732
893,1338
893,1883
893,1448
893,1268
894,61071
894,48116
894,48975
894,48828
899,41381
911,104921
911,47873
915,41112
915,41340
915,41213
916,36300
916,36817
916,36963
916,36359
916,36186
916,36191
916,36469
923,29903
923,29531
923,29352
923,29376
923,29814
923,29547
925,43128
925,43429
925,43055
925,43147
925,43204
934,54664
934,23295
934,23914
934,23506
951,40888
951,40469
951,40020
951,40629
951,40412
951,40932
951,40115
967,39847
967,39557
967,39022
967,39464
976,118651
976,36766
976,36091
976,36125
976,36580
976,36949
976,36136
976,36777
976,36352
976,36337
976,36237
976,36049
983,23358
983,22995
983,23423
983,23585
983,23331
995,69787
995,17807
995,17343
995,17500
999,61071
999,48116
999,48828
999,48975
1008,54896
1008,10000
1008,9098
1008,9095
1008,9521
1014,30533
1014,30802
1014,30960
1014,30723
1014,30011
1014,30263
1014,30455
1014,30018
1014,30587
1014,30289
1014,30374
1014,30120
1014,30144
1014,30820
1014,30086
1014,30688
1031,61044
1031,23907
1031,23524
1031,23643
1034,21997
1034,21994
1034,22406
1035,36834
1035,36138
1035,36363
1035,36751
1039,36999
1039,37173
1039,37599
1039,37884
1039,37264
1039,37710
1039,37508
1053,60756
1053,32248
1053,32960
1053,32788
1053,32704
1056,123381
1056,83390
1056,8728
1061,36179
1061,36754
1061,36266
1062,8612
1067,10938
1069,86210
1069,46311
1069,46272
1069,46455
1074,94029
1075,60237
1075,44067
1075,44030
1075,44769
1078,36326
1078,36819
1078,36010
1088,9007
1107,50336
1107,50351
1107,50217
1107,50210
1107,50448
1110,20740
1110,20721
1110,20869
1110,20963
1110,20378
1110,20413
1110,20133
1110,20176
1113,83553
1113,91596
1113,5595
1113,5623
1113,5001
1113,5906
1113,5166
1116,24769
1116,24900
1116,24221
1126,90871
1126,6932
1126,6893
1126,6213
1126,6310
1127,47395
1132,15928
1142,36492
1142,36184
1142,36597
1145,61292
1145,7953
1149,37285
1149,37920
1149,37906
1150,24066
1150,24937
1150,24253
1150,24498
1150,24886
1150,24876
1150,24962
1150,24482
1150,24601
1161,58042
1161,47627
1161,47502
1161,47797
1163,51140
1163,51936
1163,51295
1163,51206
1163,51780
1163,51829
1163,51024
1171,108723
1171,41693
1171,41231
1171,40994
1171,41020
1171,41805
1171,41520
1172,33621
1172,33174
1172,33099
1172,33421
1172,33460
1172,33717
1172,33321
1172,33382
1173,44545
1173,44956
1173,44633
1178,101434
1178,54757
1178,8946
1186,98683
1186,43919
1186,43144
1186,43560
1186,43599
1188,44742
1199,31752
1199,31584
1199,31988
1199,31368
1199,31741
1208,43404
1208,43323
1208,43987
1214,114540
1214,40083
1214,40858
1214,40501
1215,5030
1215,5214
1215,5238
1215,5690
1215,5033
1216,45154
1217,49016
1217,49567
1217,49271
1217,49709
1229,107970
1231,38723
1231,38442
1231,38626
1231,38031
1239,46644
1245,43202
1245,43162
1245,43768
1245,43568
1259,25776
1259,25751
1259,25093
1262,62985
1262,776
1263,12791
1263,12368
1263,12378
1292,59022
1292,2231
1296,15440
1299,65677
1306,37449
1309,135792
1309,61535
1309,13793
1313,2679
1313,2999
1313,2358
1313,2566
1315,31145
1318,148267
1318,14789
1318,14334
1318,14263
1319,113577
1319,52736
1319,52002
1319,52960
1320,30881
1320,30070
1320,30665
1321,120856
1321,24508
1322,60763
1322,49701
1322,49229
1322,49797
1331,61534
1331,19183
1342,10638
1354,47834
1354,47481
1354,47466
1358,13601
1358,13435
1358,13193
1364,111345
1365,6602
1365,6667
1365,6070
1365,6113
1366,18521
1366,18932
1366,18371
1366,18916
1366,18149
1366,18950
1377,57582
1377,21426
1382,45268
1382,45990
1382,45914
1382,45955
1384,48702
1384,48608
1384,48619
1384,48518
1384,48164
