source,target
72,0
71,0
276,0
312,0
82,0
73,0
324,0
158,0
304,0
141,0
282,0
374,0
3,0
143,0
4,0
1,0
234,0
171,0
278,0
7,0
6,0
268,0
164,0
70,0
69,0
139,0
270,0
307,0
230,0
166,0
79,0
205,0
327,0
67,0
146,0
2,0
339,0
124,0
41,1
42,1
386,1
37,1
40,1
9,1
17,1
39,1
11,1
13,1
16,1
14,1
38,1
15,1
385,1
12,1
10,1
18,1
29,2
45,2
272,2
31,2
24,2
44,2
46,2
43,2
77,2
28,2
22,2
48,2
26,2
23,2
30,2
47,2
25,2
27,2
273,2
53,3
200,3
199,3
58,3
57,3
56,3
50,3
55,3
54,3
51,3
52,3
32,3
198,3
33,4
5,4
60,4
59,4
244,6
49,6
34,6
63,7
66,7
64,7
61,7
65,7
35,7
62,7
392,7
36,8
19,18
20,18
21,18
22,67
17,67
36,67
16,67
34,67
10,67
35,67
9,67
33,67
15,67
32,67
12,67
13,67
14,67
11,67
350,68
345,68
361,68
362,68
358,68
353,68
347,68
357,68
359,68
349,68
348,68
364,68
365,68
355,68
346,68
354,68
356,68
363,68
352,68
351,68
109,69
105,69
107,69
106,69
383,69
108,69
104,69
103,69
102,69
99,70
101,71
100,72
366,73
96,73
225,73
89,73
335,73
369,73
249,73
211,73
212,73
83,73
378,73
251,73
265,73
263,73
228,73
256,73
98,73
245,73
110,74
360,74
111,74
331,74
222,74
221,74
334,74
223,74
330,74
332,74
224,74
333,74
259,74
112,75
342,76
382,76
393,76
113,76
114,77
115,77
117,78
116,78
118,79
119,80
248,81
246,81
120,81
247,81
123,82
122,82
121,82
84,83
87,83
86,83
95,83
85,83
88,83
90,89
91,89
92,89
254,89
93,89
255,89
94,89
97,96
128,124
132,124
138,124
125,124
260,124
154,124
133,124
137,124
152,124
131,124
129,124
81,124
135,124
126,124
78,124
155,124
130,124
153,124
151,124
134,124
127,124
136,124
148,124
149,124
150,124
80,139
384,139
140,139
142,141
145,143
329,143
144,143
323,146
157,146
321,146
275,146
319,146
320,146
274,146
322,146
156,146
147,146
159,158
161,160
201,160
163,162
229,164
165,164
169,166
167,166
233,167
168,167
170,169
172,171
175,171
173,171
311,171
174,171
267,172
176,172
177,172
195,172
194,172
197,172
196,172
190,173
188,173
187,173
179,173
178,173
191,173
189,173
186,173
192,173
185,173
181,174
183,174
193,174
182,174
184,174
180,175
208,202
204,202
203,202
202,205
209,205
162,205
371,205
75,205
160,205
8,205
207,205
210,207
206,209
217,214
219,214
216,214
218,214
215,214
220,214
338,225
226,225
227,225
76,230
231,230
74,230
232,231
381,234
245,234
214,234
238,234
326,234
236,234
237,234
243,235
211,235
242,235
212,235
213,235
295,237
261,237
241,237
262,237
240,238
235,238
239,238
310,238
98,240
375,249
376,249
250,249
253,251
252,251
257,256
258,256
213,256
264,263
266,265
299,268
298,268
302,268
303,268
269,268
301,268
300,268
271,270
277,276
281,276
280,276
279,278
283,282
284,282
296,282
285,282
391,282
297,282
287,282
286,282
390,282
289,287
288,287
290,287
294,290
292,290
291,290
293,290
387,295
389,295
388,295
305,304
306,304
308,307
309,307
313,312
315,312
314,313
317,313
316,313
318,315
325,324
328,327
336,335
337,335
344,339
343,339
341,339
340,339
367,366
368,366
370,369
372,371
373,371
377,374
379,378
380,378
